 t-4,t-3,t-2,t-1,t,T+1
2452,2142,2335,2187,1956,1569
2142,2335,2187,1956,1569,3393
2335,2187,1956,1569,3393,3221
2187,1956,1569,3393,3221,1768
1956,1569,3393,3221,1768,2646
1569,3393,3221,1768,2646,1903
3393,3221,1768,2646,1903,1879
3221,1768,2646,1903,1879,2426
1768,2646,1903,1879,2426,2479
2646,1903,1879,2426,2479,2218
1903,1879,2426,2479,2218,2574
1879,2426,2479,2218,2574,2800
2426,2479,2218,2574,2800,2781
2479,2218,2574,2800,2781,2141
2218,2574,2800,2781,2141,2297
2574,2800,2781,2141,2297,3063
2800,2781,2141,2297,3063,2309
2781,2141,2297,3063,2309,2415
2141,2297,3063,2309,2415,2299
2297,3063,2309,2415,2299,2633
3063,2309,2415,2299,2633,2905
2309,2415,2299,2633,2905,2208
2415,2299,2633,2905,2208,1441
2299,2633,2905,2208,1441,2713
2633,2905,2208,1441,2713,2590
2905,2208,1441,2713,2590,1972
2208,1441,2713,2590,1972,2593
1441,2713,2590,1972,2593,1970
2713,2590,1972,2593,1970,2052
2590,1972,2593,1970,2052,2418
1972,2593,1970,2052,2418,3014
2593,1970,2052,2418,3014,2955
1970,2052,2418,3014,2955,2226
2052,2418,3014,2955,2226,2827
2418,3014,2955,2226,2827,2110
3014,2955,2226,2827,2110,2579
2955,2226,2827,2110,2579,1881
2226,2827,2110,2579,1881,2328
2827,2110,2579,1881,2328,2131
2110,2579,1881,2328,2131,2897
2579,1881,2328,2131,2897,2755
1881,2328,2131,2897,2755,2205
2328,2131,2897,2755,2205,2808
2131,2897,2755,2205,2808,1628
2897,2755,2205,2808,1628,2362
2755,2205,2808,1628,2362,2028
2205,2808,1628,2362,2028,2604
2808,1628,2362,2028,2604,2250
1628,2362,2028,2604,2250,2133
2362,2028,2604,2250,2133,3236
2028,2604,2250,2133,3236,2218
2604,2250,2133,3236,2218,1982
2250,2133,3236,2218,1982,2212
2133,3236,2218,1982,2212,1783
3236,2218,1982,2212,1783,2898
2218,1982,2212,1783,2898,2041
1982,2212,1783,2898,2041,3103
2212,1783,2898,2041,3103,2838
1783,2898,2041,3103,2838,2218
2898,2041,3103,2838,2218,2189
2041,3103,2838,2218,2189,1891
3103,2838,2218,2189,1891,2420
2838,2218,2189,1891,2420,2367
2218,2189,1891,2420,2367,2843
2189,1891,2420,2367,2843,2098
1891,2420,2367,2843,2098,2808
2420,2367,2843,2098,2808,2137
2367,2843,2098,2808,2137,2974
2843,2098,2808,2137,2974,2257
2098,2808,2137,2974,2257,2767
2808,2137,2974,2257,2767,2960
2137,2974,2257,2767,2960,2608
2974,2257,2767,2960,2608,2382
2257,2767,2960,2608,2382,2237
2767,2960,2608,2382,2237,2076
2960,2608,2382,2237,2076,2367
2608,2382,2237,2076,2367,2868
2382,2237,2076,2367,2868,2229
2237,2076,2367,2868,2229,3039
2076,2367,2868,2229,3039,2538
2367,2868,2229,3039,2538,2603
2868,2229,3039,2538,2603,2701
2229,3039,2538,2603,2701,2501
3039,2538,2603,2701,2501,2502
2538,2603,2701,2501,2502,2737
2603,2701,2501,2502,2737,2363
2701,2501,2502,2737,2363,3029
2501,2502,2737,2363,3029,2637
2502,2737,2363,3029,2637,1894
2737,2363,3029,2637,1894,1982
2363,3029,2637,1894,1982,2574
3029,2637,1894,1982,2574,1947
2637,1894,1982,2574,1947,2387
1894,1982,2574,1947,2387,2989
1982,2574,1947,2387,2989,2588
2574,1947,2387,2989,2588,2172
1947,2387,2989,2588,2172,3075
2387,2989,2588,2172,3075,2282
2989,2588,2172,3075,2282,2647
2588,2172,3075,2282,2647,2786
2172,3075,2282,2647,2786,2395
3075,2282,2647,2786,2395,2735
2282,2647,2786,2395,2735,1990
2647,2786,2395,2735,1990,2534
2786,2395,2735,1990,2534,2263
2395,2735,1990,2534,2263,2685
2735,1990,2534,2263,2685,2934
1990,2534,2263,2685,2934,2591
2534,2263,2685,2934,2591,2185
2263,2685,2934,2591,2185,2135
2685,2934,2591,2185,2135,2370
2934,2591,2185,2135,2370,2762
2591,2185,2135,2370,2762,2311
2185,2135,2370,2762,2311,2836
2135,2370,2762,2311,2836,2431
2370,2762,2311,2836,2431,2724
2762,2311,2836,2431,2724,1894
2311,2836,2431,2724,1894,2706
2836,2431,2724,1894,2706,2439
2431,2724,1894,2706,2439,2737
2724,1894,2706,2439,2737,2541
1894,2706,2439,2737,2541,2441
2706,2439,2737,2541,2441,2027
2439,2737,2541,2441,2027,2169
2737,2541,2441,2027,2169,1899
2541,2441,2027,2169,1899,2278
2441,2027,2169,1899,2278,2272
2027,2169,1899,2278,2272,2425
2169,1899,2278,2272,2425,1879
1899,2278,2272,2425,1879,2900
2278,2272,2425,1879,2900,2577
2272,2425,1879,2900,2577,2629
2425,1879,2900,2577,2629,1952
1879,2900,2577,2629,1952,2571
2900,2577,2629,1952,2571,2809
2577,2629,1952,2571,2809,2576
2629,1952,2571,2809,2576,2467
1952,2571,2809,2576,2467,2190
2571,2809,2576,2467,2190,1855
