 t-5,t-4,t-3,t-2,t-1,t,T+1
2452,2142,2335,2187,1956,1569,3393
2142,2335,2187,1956,1569,3393,3221
2335,2187,1956,1569,3393,3221,1768
2187,1956,1569,3393,3221,1768,2646
1956,1569,3393,3221,1768,2646,1903
1569,3393,3221,1768,2646,1903,1879
3393,3221,1768,2646,1903,1879,2426
3221,1768,2646,1903,1879,2426,2479
1768,2646,1903,1879,2426,2479,2218
2646,1903,1879,2426,2479,2218,2574
1903,1879,2426,2479,2218,2574,2800
1879,2426,2479,2218,2574,2800,2781
2426,2479,2218,2574,2800,2781,2141
2479,2218,2574,2800,2781,2141,2297
2218,2574,2800,2781,2141,2297,3063
2574,2800,2781,2141,2297,3063,2309
2800,2781,2141,2297,3063,2309,2415
2781,2141,2297,3063,2309,2415,2299
2141,2297,3063,2309,2415,2299,2633
2297,3063,2309,2415,2299,2633,2905
3063,2309,2415,2299,2633,2905,2208
2309,2415,2299,2633,2905,2208,1441
2415,2299,2633,2905,2208,1441,2713
2299,2633,2905,2208,1441,2713,2590
2633,2905,2208,1441,2713,2590,1972
2905,2208,1441,2713,2590,1972,2593
2208,1441,2713,2590,1972,2593,1970
1441,2713,2590,1972,2593,1970,2052
2713,2590,1972,2593,1970,2052,2418
2590,1972,2593,1970,2052,2418,3014
1972,2593,1970,2052,2418,3014,2955
2593,1970,2052,2418,3014,2955,2226
1970,2052,2418,3014,2955,2226,2827
2052,2418,3014,2955,2226,2827,2110
2418,3014,2955,2226,2827,2110,2579
3014,2955,2226,2827,2110,2579,1881
2955,2226,2827,2110,2579,1881,2328
2226,2827,2110,2579,1881,2328,2131
2827,2110,2579,1881,2328,2131,2897
2110,2579,1881,2328,2131,2897,2755
2579,1881,2328,2131,2897,2755,2205
1881,2328,2131,2897,2755,2205,2808
2328,2131,2897,2755,2205,2808,1628
2131,2897,2755,2205,2808,1628,2362
2897,2755,2205,2808,1628,2362,2028
2755,2205,2808,1628,2362,2028,2604
2205,2808,1628,2362,2028,2604,2250
2808,1628,2362,2028,2604,2250,2133
1628,2362,2028,2604,2250,2133,3236
2362,2028,2604,2250,2133,3236,2218
2028,2604,2250,2133,3236,2218,1982
2604,2250,2133,3236,2218,1982,2212
2250,2133,3236,2218,1982,2212,1783
2133,3236,2218,1982,2212,1783,2898
3236,2218,1982,2212,1783,2898,2041
2218,1982,2212,1783,2898,2041,3103
1982,2212,1783,2898,2041,3103,2838
2212,1783,2898,2041,3103,2838,2218
1783,2898,2041,3103,2838,2218,2189
2898,2041,3103,2838,2218,2189,1891
2041,3103,2838,2218,2189,1891,2420
3103,2838,2218,2189,1891,2420,2367
2838,2218,2189,1891,2420,2367,2843
2218,2189,1891,2420,2367,2843,2098
2189,1891,2420,2367,2843,2098,2808
1891,2420,2367,2843,2098,2808,2137
2420,2367,2843,2098,2808,2137,2974
2367,2843,2098,2808,2137,2974,2257
2843,2098,2808,2137,2974,2257,2767
2098,2808,2137,2974,2257,2767,2960
2808,2137,2974,2257,2767,2960,2608
2137,2974,2257,2767,2960,2608,2382
2974,2257,2767,2960,2608,2382,2237
2257,2767,2960,2608,2382,2237,2076
2767,2960,2608,2382,2237,2076,2367
2960,2608,2382,2237,2076,2367,2868
2608,2382,2237,2076,2367,2868,2229
2382,2237,2076,2367,2868,2229,3039
2237,2076,2367,2868,2229,3039,2538
2076,2367,2868,2229,3039,2538,2603
2367,2868,2229,3039,2538,2603,2701
2868,2229,3039,2538,2603,2701,2501
2229,3039,2538,2603,2701,2501,2502
3039,2538,2603,2701,2501,2502,2737
2538,2603,2701,2501,2502,2737,2363
2603,2701,2501,2502,2737,2363,3029
2701,2501,2502,2737,2363,3029,2637
2501,2502,2737,2363,3029,2637,1894
2502,2737,2363,3029,2637,1894,1982
2737,2363,3029,2637,1894,1982,2574
2363,3029,2637,1894,1982,2574,1947
3029,2637,1894,1982,2574,1947,2387
2637,1894,1982,2574,1947,2387,2989
1894,1982,2574,1947,2387,2989,2588
1982,2574,1947,2387,2989,2588,2172
2574,1947,2387,2989,2588,2172,3075
1947,2387,2989,2588,2172,3075,2282
2387,2989,2588,2172,3075,2282,2647
2989,2588,2172,3075,2282,2647,2786
2588,2172,3075,2282,2647,2786,2395
2172,3075,2282,2647,2786,2395,2735
3075,2282,2647,2786,2395,2735,1990
2282,2647,2786,2395,2735,1990,2534
2647,2786,2395,2735,1990,2534,2263
2786,2395,2735,1990,2534,2263,2685
2395,2735,1990,2534,2263,2685,2934
2735,1990,2534,2263,2685,2934,2591
1990,2534,2263,2685,2934,2591,2185
2534,2263,2685,2934,2591,2185,2135
2263,2685,2934,2591,2185,2135,2370
2685,2934,2591,2185,2135,2370,2762
2934,2591,2185,2135,2370,2762,2311
2591,2185,2135,2370,2762,2311,2836
2185,2135,2370,2762,2311,2836,2431
2135,2370,2762,2311,2836,2431,2724
2370,2762,2311,2836,2431,2724,1894
2762,2311,2836,2431,2724,1894,2706
2311,2836,2431,2724,1894,2706,2439
2836,2431,2724,1894,2706,2439,2737
2431,2724,1894,2706,2439,2737,2541
2724,1894,2706,2439,2737,2541,2441
1894,2706,2439,2737,2541,2441,2027
2706,2439,2737,2541,2441,2027,2169
2439,2737,2541,2441,2027,2169,1899
2737,2541,2441,2027,2169,1899,2278
