 t-6,t-5,t-4,t-3,t-2,t-1,t,T+1
2452,2142,2335,2187,1956,1569,3393,3221
2142,2335,2187,1956,1569,3393,3221,1768
2335,2187,1956,1569,3393,3221,1768,2646
2187,1956,1569,3393,3221,1768,2646,1903
1956,1569,3393,3221,1768,2646,1903,1879
1569,3393,3221,1768,2646,1903,1879,2426
3393,3221,1768,2646,1903,1879,2426,2479
3221,1768,2646,1903,1879,2426,2479,2218
1768,2646,1903,1879,2426,2479,2218,2574
2646,1903,1879,2426,2479,2218,2574,2800
1903,1879,2426,2479,2218,2574,2800,2781
1879,2426,2479,2218,2574,2800,2781,2141
2426,2479,2218,2574,2800,2781,2141,2297
2479,2218,2574,2800,2781,2141,2297,3063
2218,2574,2800,2781,2141,2297,3063,2309
2574,2800,2781,2141,2297,3063,2309,2415
2800,2781,2141,2297,3063,2309,2415,2299
2781,2141,2297,3063,2309,2415,2299,2633
2141,2297,3063,2309,2415,2299,2633,2905
2297,3063,2309,2415,2299,2633,2905,2208
3063,2309,2415,2299,2633,2905,2208,1441
2309,2415,2299,2633,2905,2208,1441,2713
2415,2299,2633,2905,2208,1441,2713,2590
2299,2633,2905,2208,1441,2713,2590,1972
2633,2905,2208,1441,2713,2590,1972,2593
2905,2208,1441,2713,2590,1972,2593,1970
2208,1441,2713,2590,1972,2593,1970,2052
1441,2713,2590,1972,2593,1970,2052,2418
2713,2590,1972,2593,1970,2052,2418,3014
2590,1972,2593,1970,2052,2418,3014,2955
1972,2593,1970,2052,2418,3014,2955,2226
2593,1970,2052,2418,3014,2955,2226,2827
1970,2052,2418,3014,2955,2226,2827,2110
2052,2418,3014,2955,2226,2827,2110,2579
2418,3014,2955,2226,2827,2110,2579,1881
3014,2955,2226,2827,2110,2579,1881,2328
2955,2226,2827,2110,2579,1881,2328,2131
2226,2827,2110,2579,1881,2328,2131,2897
2827,2110,2579,1881,2328,2131,2897,2755
2110,2579,1881,2328,2131,2897,2755,2205
2579,1881,2328,2131,2897,2755,2205,2808
1881,2328,2131,2897,2755,2205,2808,1628
2328,2131,2897,2755,2205,2808,1628,2362
2131,2897,2755,2205,2808,1628,2362,2028
2897,2755,2205,2808,1628,2362,2028,2604
2755,2205,2808,1628,2362,2028,2604,2250
2205,2808,1628,2362,2028,2604,2250,2133
2808,1628,2362,2028,2604,2250,2133,3236
1628,2362,2028,2604,2250,2133,3236,2218
2362,2028,2604,2250,2133,3236,2218,1982
2028,2604,2250,2133,3236,2218,1982,2212
2604,2250,2133,3236,2218,1982,2212,1783
2250,2133,3236,2218,1982,2212,1783,2898
2133,3236,2218,1982,2212,1783,2898,2041
3236,2218,1982,2212,1783,2898,2041,3103
2218,1982,2212,1783,2898,2041,3103,2838
1982,2212,1783,2898,2041,3103,2838,2218
2212,1783,2898,2041,3103,2838,2218,2189
1783,2898,2041,3103,2838,2218,2189,1891
2898,2041,3103,2838,2218,2189,1891,2420
2041,3103,2838,2218,2189,1891,2420,2367
3103,2838,2218,2189,1891,2420,2367,2843
2838,2218,2189,1891,2420,2367,2843,2098
2218,2189,1891,2420,2367,2843,2098,2808
2189,1891,2420,2367,2843,2098,2808,2137
1891,2420,2367,2843,2098,2808,2137,2974
2420,2367,2843,2098,2808,2137,2974,2257
2367,2843,2098,2808,2137,2974,2257,2767
2843,2098,2808,2137,2974,2257,2767,2960
2098,2808,2137,2974,2257,2767,2960,2608
2808,2137,2974,2257,2767,2960,2608,2382
2137,2974,2257,2767,2960,2608,2382,2237
2974,2257,2767,2960,2608,2382,2237,2076
2257,2767,2960,2608,2382,2237,2076,2367
2767,2960,2608,2382,2237,2076,2367,2868
2960,2608,2382,2237,2076,2367,2868,2229
2608,2382,2237,2076,2367,2868,2229,3039
2382,2237,2076,2367,2868,2229,3039,2538
2237,2076,2367,2868,2229,3039,2538,2603
2076,2367,2868,2229,3039,2538,2603,2701
2367,2868,2229,3039,2538,2603,2701,2501
2868,2229,3039,2538,2603,2701,2501,2502
2229,3039,2538,2603,2701,2501,2502,2737
3039,2538,2603,2701,2501,2502,2737,2363
2538,2603,2701,2501,2502,2737,2363,3029
2603,2701,2501,2502,2737,2363,3029,2637
2701,2501,2502,2737,2363,3029,2637,1894
2501,2502,2737,2363,3029,2637,1894,1982
2502,2737,2363,3029,2637,1894,1982,2574
2737,2363,3029,2637,1894,1982,2574,1947
2363,3029,2637,1894,1982,2574,1947,2387
3029,2637,1894,1982,2574,1947,2387,2989
2637,1894,1982,2574,1947,2387,2989,2588
1894,1982,2574,1947,2387,2989,2588,2172
1982,2574,1947,2387,2989,2588,2172,3075
2574,1947,2387,2989,2588,2172,3075,2282
1947,2387,2989,2588,2172,3075,2282,2647
2387,2989,2588,2172,3075,2282,2647,2786
2989,2588,2172,3075,2282,2647,2786,2395
2588,2172,3075,2282,2647,2786,2395,2735
2172,3075,2282,2647,2786,2395,2735,1990
3075,2282,2647,2786,2395,2735,1990,2534
2282,2647,2786,2395,2735,1990,2534,2263
2647,2786,2395,2735,1990,2534,2263,2685
2786,2395,2735,1990,2534,2263,2685,2934
2395,2735,1990,2534,2263,2685,2934,2591
2735,1990,2534,2263,2685,2934,2591,2185
1990,2534,2263,2685,2934,2591,2185,2135
2534,2263,2685,2934,2591,2185,2135,2370
2263,2685,2934,2591,2185,2135,2370,2762
2685,2934,2591,2185,2135,2370,2762,2311
2934,2591,2185,2135,2370,2762,2311,2836
2591,2185,2135,2370,2762,2311,2836,2431
2185,2135,2370,2762,2311,2836,2431,2724
2135,2370,2762,2311,2836,2431,2724,1894
2370,2762,2311,2836,2431,2724,1894,2706
2762,2311,2836,2431,2724,1894,2706,2439
2311,2836,2431,2724,1894,2706,2439,2737
2836,2431,2724,1894,2706,2439,2737,2541
2431,2724,1894,2706,2439,2737,2541,2441
2724,1894,2706,2439,2737,2541,2441,2027
1894,2706,2439,2737,2541,2441,2027,2169
2706,2439,2737,2541,2441,2027,2169,1899
2439,2737,2541,2441,2027,2169,1899,2278
2737,2541,2441,2027,2169,1899,2278,2272
2541,2441,2027,2169,1899,2278,2272,2425
2441,2027,2169,1899,2278,2272,2425,1879
2027,2169,1899,2278,2272,2425,1879,2900
2169,1899,2278,2272,2425,1879,2900,2577
1899,2278,2272,2425,1879,2900,2577,2629
2278,2272,2425,1879,2900,2577,2629,1952
2272,2425,1879,2900,2577,2629,1952,2571
2425,1879,2900,2577,2629,1952,2571,2809
1879,2900,2577,2629,1952,2571,2809,2576
2900,2577,2629,1952,2571,2809,2576,2467
2577,2629,1952,2571,2809,2576,2467,2190
2629,1952,2571,2809,2576,2467,2190,1855
