 t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,T+1
2452,2142,2335,2187,1956,1569,3393,3221,1768
2142,2335,2187,1956,1569,3393,3221,1768,2646
2335,2187,1956,1569,3393,3221,1768,2646,1903
2187,1956,1569,3393,3221,1768,2646,1903,1879
1956,1569,3393,3221,1768,2646,1903,1879,2426
1569,3393,3221,1768,2646,1903,1879,2426,2479
3393,3221,1768,2646,1903,1879,2426,2479,2218
3221,1768,2646,1903,1879,2426,2479,2218,2574
1768,2646,1903,1879,2426,2479,2218,2574,2800
2646,1903,1879,2426,2479,2218,2574,2800,2781
1903,1879,2426,2479,2218,2574,2800,2781,2141
1879,2426,2479,2218,2574,2800,2781,2141,2297
2426,2479,2218,2574,2800,2781,2141,2297,3063
2479,2218,2574,2800,2781,2141,2297,3063,2309
2218,2574,2800,2781,2141,2297,3063,2309,2415
2574,2800,2781,2141,2297,3063,2309,2415,2299
2800,2781,2141,2297,3063,2309,2415,2299,2633
2781,2141,2297,3063,2309,2415,2299,2633,2905
2141,2297,3063,2309,2415,2299,2633,2905,2208
2297,3063,2309,2415,2299,2633,2905,2208,1441
3063,2309,2415,2299,2633,2905,2208,1441,2713
2309,2415,2299,2633,2905,2208,1441,2713,2590
2415,2299,2633,2905,2208,1441,2713,2590,1972
2299,2633,2905,2208,1441,2713,2590,1972,2593
2633,2905,2208,1441,2713,2590,1972,2593,1970
2905,2208,1441,2713,2590,1972,2593,1970,2052
2208,1441,2713,2590,1972,2593,1970,2052,2418
1441,2713,2590,1972,2593,1970,2052,2418,3014
2713,2590,1972,2593,1970,2052,2418,3014,2955
2590,1972,2593,1970,2052,2418,3014,2955,2226
1972,2593,1970,2052,2418,3014,2955,2226,2827
2593,1970,2052,2418,3014,2955,2226,2827,2110
1970,2052,2418,3014,2955,2226,2827,2110,2579
2052,2418,3014,2955,2226,2827,2110,2579,1881
2418,3014,2955,2226,2827,2110,2579,1881,2328
3014,2955,2226,2827,2110,2579,1881,2328,2131
2955,2226,2827,2110,2579,1881,2328,2131,2897
2226,2827,2110,2579,1881,2328,2131,2897,2755
2827,2110,2579,1881,2328,2131,2897,2755,2205
2110,2579,1881,2328,2131,2897,2755,2205,2808
2579,1881,2328,2131,2897,2755,2205,2808,1628
1881,2328,2131,2897,2755,2205,2808,1628,2362
2328,2131,2897,2755,2205,2808,1628,2362,2028
2131,2897,2755,2205,2808,1628,2362,2028,2604
2897,2755,2205,2808,1628,2362,2028,2604,2250
2755,2205,2808,1628,2362,2028,2604,2250,2133
2205,2808,1628,2362,2028,2604,2250,2133,3236
2808,1628,2362,2028,2604,2250,2133,3236,2218
1628,2362,2028,2604,2250,2133,3236,2218,1982
2362,2028,2604,2250,2133,3236,2218,1982,2212
2028,2604,2250,2133,3236,2218,1982,2212,1783
2604,2250,2133,3236,2218,1982,2212,1783,2898
2250,2133,3236,2218,1982,2212,1783,2898,2041
2133,3236,2218,1982,2212,1783,2898,2041,3103
3236,2218,1982,2212,1783,2898,2041,3103,2838
2218,1982,2212,1783,2898,2041,3103,2838,2218
1982,2212,1783,2898,2041,3103,2838,2218,2189
2212,1783,2898,2041,3103,2838,2218,2189,1891
1783,2898,2041,3103,2838,2218,2189,1891,2420
2898,2041,3103,2838,2218,2189,1891,2420,2367
2041,3103,2838,2218,2189,1891,2420,2367,2843
3103,2838,2218,2189,1891,2420,2367,2843,2098
2838,2218,2189,1891,2420,2367,2843,2098,2808
2218,2189,1891,2420,2367,2843,2098,2808,2137
2189,1891,2420,2367,2843,2098,2808,2137,2974
1891,2420,2367,2843,2098,2808,2137,2974,2257
2420,2367,2843,2098,2808,2137,2974,2257,2767
2367,2843,2098,2808,2137,2974,2257,2767,2960
2843,2098,2808,2137,2974,2257,2767,2960,2608
2098,2808,2137,2974,2257,2767,2960,2608,2382
2808,2137,2974,2257,2767,2960,2608,2382,2237
2137,2974,2257,2767,2960,2608,2382,2237,2076
2974,2257,2767,2960,2608,2382,2237,2076,2367
2257,2767,2960,2608,2382,2237,2076,2367,2868
2767,2960,2608,2382,2237,2076,2367,2868,2229
2960,2608,2382,2237,2076,2367,2868,2229,3039
2608,2382,2237,2076,2367,2868,2229,3039,2538
2382,2237,2076,2367,2868,2229,3039,2538,2603
2237,2076,2367,2868,2229,3039,2538,2603,2701
2076,2367,2868,2229,3039,2538,2603,2701,2501
2367,2868,2229,3039,2538,2603,2701,2501,2502
2868,2229,3039,2538,2603,2701,2501,2502,2737
2229,3039,2538,2603,2701,2501,2502,2737,2363
3039,2538,2603,2701,2501,2502,2737,2363,3029
2538,2603,2701,2501,2502,2737,2363,3029,2637
2603,2701,2501,2502,2737,2363,3029,2637,1894
2701,2501,2502,2737,2363,3029,2637,1894,1982
