t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,T+1
2452,2142,2335,2187,1956,1569,3393,3221,1768,2646
2142,2335,2187,1956,1569,3393,3221,1768,2646,1903
2335,2187,1956,1569,3393,3221,1768,2646,1903,1879
2187,1956,1569,3393,3221,1768,2646,1903,1879,2426
1956,1569,3393,3221,1768,2646,1903,1879,2426,2479
1569,3393,3221,1768,2646,1903,1879,2426,2479,2218
3393,3221,1768,2646,1903,1879,2426,2479,2218,2574
3221,1768,2646,1903,1879,2426,2479,2218,2574,2800
1768,2646,1903,1879,2426,2479,2218,2574,2800,2781
2646,1903,1879,2426,2479,2218,2574,2800,2781,2141
1903,1879,2426,2479,2218,2574,2800,2781,2141,2297
1879,2426,2479,2218,2574,2800,2781,2141,2297,3063
2426,2479,2218,2574,2800,2781,2141,2297,3063,2309
2479,2218,2574,2800,2781,2141,2297,3063,2309,2415
2218,2574,2800,2781,2141,2297,3063,2309,2415,2299
2574,2800,2781,2141,2297,3063,2309,2415,2299,2633
2800,2781,2141,2297,3063,2309,2415,2299,2633,2905
2781,2141,2297,3063,2309,2415,2299,2633,2905,2208
2141,2297,3063,2309,2415,2299,2633,2905,2208,1441
2297,3063,2309,2415,2299,2633,2905,2208,1441,2713
3063,2309,2415,2299,2633,2905,2208,1441,2713,2590
2309,2415,2299,2633,2905,2208,1441,2713,2590,1972
2415,2299,2633,2905,2208,1441,2713,2590,1972,2593
2299,2633,2905,2208,1441,2713,2590,1972,2593,1970
2633,2905,2208,1441,2713,2590,1972,2593,1970,2052
2905,2208,1441,2713,2590,1972,2593,1970,2052,2418
2208,1441,2713,2590,1972,2593,1970,2052,2418,3014
1441,2713,2590,1972,2593,1970,2052,2418,3014,2955
2713,2590,1972,2593,1970,2052,2418,3014,2955,2226
2590,1972,2593,1970,2052,2418,3014,2955,2226,2827
1972,2593,1970,2052,2418,3014,2955,2226,2827,2110
2593,1970,2052,2418,3014,2955,2226,2827,2110,2579
1970,2052,2418,3014,2955,2226,2827,2110,2579,1881
2052,2418,3014,2955,2226,2827,2110,2579,1881,2328
2418,3014,2955,2226,2827,2110,2579,1881,2328,2131
3014,2955,2226,2827,2110,2579,1881,2328,2131,2897
2955,2226,2827,2110,2579,1881,2328,2131,2897,2755
2226,2827,2110,2579,1881,2328,2131,2897,2755,2205
2827,2110,2579,1881,2328,2131,2897,2755,2205,2808
2110,2579,1881,2328,2131,2897,2755,2205,2808,1628
2579,1881,2328,2131,2897,2755,2205,2808,1628,2362
1881,2328,2131,2897,2755,2205,2808,1628,2362,2028
2328,2131,2897,2755,2205,2808,1628,2362,2028,2604
2131,2897,2755,2205,2808,1628,2362,2028,2604,2250
2897,2755,2205,2808,1628,2362,2028,2604,2250,2133
2755,2205,2808,1628,2362,2028,2604,2250,2133,3236
2205,2808,1628,2362,2028,2604,2250,2133,3236,2218
2808,1628,2362,2028,2604,2250,2133,3236,2218,1982
1628,2362,2028,2604,2250,2133,3236,2218,1982,2212
2362,2028,2604,2250,2133,3236,2218,1982,2212,1783
2028,2604,2250,2133,3236,2218,1982,2212,1783,2898
2604,2250,2133,3236,2218,1982,2212,1783,2898,2041
2250,2133,3236,2218,1982,2212,1783,2898,2041,3103
2133,3236,2218,1982,2212,1783,2898,2041,3103,2838
3236,2218,1982,2212,1783,2898,2041,3103,2838,2218
2218,1982,2212,1783,2898,2041,3103,2838,2218,2189
1982,2212,1783,2898,2041,3103,2838,2218,2189,1891
2212,1783,2898,2041,3103,2838,2218,2189,1891,2420
1783,2898,2041,3103,2838,2218,2189,1891,2420,2367
2898,2041,3103,2838,2218,2189,1891,2420,2367,2843
2041,3103,2838,2218,2189,1891,2420,2367,2843,2098
3103,2838,2218,2189,1891,2420,2367,2843,2098,2808
2838,2218,2189,1891,2420,2367,2843,2098,2808,2137
2218,2189,1891,2420,2367,2843,2098,2808,2137,2974
2189,1891,2420,2367,2843,2098,2808,2137,2974,2257
1891,2420,2367,2843,2098,2808,2137,2974,2257,2767
2420,2367,2843,2098,2808,2137,2974,2257,2767,2960
2367,2843,2098,2808,2137,2974,2257,2767,2960,2608
2843,2098,2808,2137,2974,2257,2767,2960,2608,2382
2098,2808,2137,2974,2257,2767,2960,2608,2382,2237
2808,2137,2974,2257,2767,2960,2608,2382,2237,2076
2137,2974,2257,2767,2960,2608,2382,2237,2076,2367
2974,2257,2767,2960,2608,2382,2237,2076,2367,2868
2257,2767,2960,2608,2382,2237,2076,2367,2868,2229
2767,2960,2608,2382,2237,2076,2367,2868,2229,3039
2960,2608,2382,2237,2076,2367,2868,2229,3039,2538
2608,2382,2237,2076,2367,2868,2229,3039,2538,2603
2382,2237,2076,2367,2868,2229,3039,2538,2603,2701
2237,2076,2367,2868,2229,3039,2538,2603,2701,2501
2076,2367,2868,2229,3039,2538,2603,2701,2501,2502
2367,2868,2229,3039,2538,2603,2701,2501,2502,2737
2868,2229,3039,2538,2603,2701,2501,2502,2737,2363
2229,3039,2538,2603,2701,2501,2502,2737,2363,3029
3039,2538,2603,2701,2501,2502,2737,2363,3029,2637
2538,2603,2701,2501,2502,2737,2363,3029,2637,1894
2603,2701,2501,2502,2737,2363,3029,2637,1894,1982
2701,2501,2502,2737,2363,3029,2637,1894,1982,2574
2501,2502,2737,2363,3029,2637,1894,1982,2574,1947
2502,2737,2363,3029,2637,1894,1982,2574,1947,2387
2737,2363,3029,2637,1894,1982,2574,1947,2387,2989
2363,3029,2637,1894,1982,2574,1947,2387,2989,2588
3029,2637,1894,1982,2574,1947,2387,2989,2588,2172
2637,1894,1982,2574,1947,2387,2989,2588,2172,3075
1894,1982,2574,1947,2387,2989,2588,2172,3075,2282
1982,2574,1947,2387,2989,2588,2172,3075,2282,2647
2574,1947,2387,2989,2588,2172,3075,2282,2647,2786
1947,2387,2989,2588,2172,3075,2282,2647,2786,2395
2387,2989,2588,2172,3075,2282,2647,2786,2395,2735
2989,2588,2172,3075,2282,2647,2786,2395,2735,1990
2588,2172,3075,2282,2647,2786,2395,2735,1990,2534
