t-5, t-4,t-3,t-2,t-1,t,T+1
2913,2645,3069,3079,2968,1564,2940
2645,3069,3079,2968,1564,2940,2241
3069,3079,2968,1564,2940,2241,2717
3079,2968,1564,2940,2241,2717,2927
2968,1564,2940,2241,2717,2927,3311
1564,2940,2241,2717,2927,3311,2690
2940,2241,2717,2927,3311,2690,2924
2241,2717,2927,3311,2690,2924,2728
2717,2927,3311,2690,2924,2728,3159
2927,3311,2690,2924,2728,3159,3013
3311,2690,2924,2728,3159,3013,2743
2690,2924,2728,3159,3013,2743,2797
2924,2728,3159,3013,2743,2797,3009
2728,3159,3013,2743,2797,3009,2571
3159,3013,2743,2797,3009,2571,3139
3013,2743,2797,3009,2571,3139,2568
2743,2797,3009,2571,3139,2568,3114
2797,3009,2571,3139,2568,3114,2567
3009,2571,3139,2568,3114,2567,2845
2571,3139,2568,3114,2567,2845,2599
3139,2568,3114,2567,2845,2599,2929
2568,3114,2567,2845,2599,2929,1878
3114,2567,2845,2599,2929,1878,2521
2567,2845,2599,2929,1878,2521,2225
2845,2599,2929,1878,2521,2225,2796
2599,2929,1878,2521,2225,2796,2789
2929,1878,2521,2225,2796,2789,2476
1878,2521,2225,2796,2789,2476,2456
2521,2225,2796,2789,2476,2456,2875
2225,2796,2789,2476,2456,2875,2217
2796,2789,2476,2456,2875,2217,3164
2789,2476,2456,2875,2217,3164,2961
2476,2456,2875,2217,3164,2961,2377
2456,2875,2217,3164,2961,2377,1534
2875,2217,3164,2961,2377,1534,3206
2217,3164,2961,2377,1534,3206,2642
3164,2961,2377,1534,3206,2642,3208
2961,2377,1534,3206,2642,3208,2298
2377,1534,3206,2642,3208,2298,2582
1534,3206,2642,3208,2298,2582,2466
3206,2642,3208,2298,2582,2466,1435
2642,3208,2298,2582,2466,1435,2712
3208,2298,2582,2466,1435,2712,2916
2298,2582,2466,1435,2712,2916,2666
2582,2466,1435,2712,2916,2666,2910
2466,1435,2712,2916,2666,2910,2970
1435,2712,2916,2666,2910,2970,2999
2712,2916,2666,2910,2970,2999,2858
2916,2666,2910,2970,2999,2858,2876
2666,2910,2970,2999,2858,2876,3194
2910,2970,2999,2858,2876,3194,2834
2970,2999,2858,2876,3194,2834,2870
2999,2858,2876,3194,2834,2870,2801
2858,2876,3194,2834,2870,2801,2826
2876,3194,2834,2870,2801,2826,3136
3194,2834,2870,2801,2826,3136,2572
2834,2870,2801,2826,3136,2572,2548
2870,2801,2826,3136,2572,2548,3047
2801,2826,3136,2572,2548,3047,2604
2826,3136,2572,2548,3047,2604,3283
3136,2572,2548,3047,2604,3283,2678
2572,2548,3047,2604,3283,2678,2528
2548,3047,2604,3283,2678,2528,2883
3047,2604,3283,2678,2528,2883,2183
2604,3283,2678,2528,2883,2183,3225
3283,2678,2528,2883,2183,3225,2971
2678,2528,2883,2183,3225,2971,3460
2528,2883,2183,3225,2971,3460,3137
2883,2183,3225,2971,3460,3137,2822
2183,3225,2971,3460,3137,2822,2909
3225,2971,3460,3137,2822,2909,2794
2971,3460,3137,2822,2909,2794,2946
3460,3137,2822,2909,2794,2946,3229
3137,2822,2909,2794,2946,3229,2543
2822,2909,2794,2946,3229,2543,2766
2909,2794,2946,3229,2543,2766,3000
2794,2946,3229,2543,2766,3000,2837
2946,3229,2543,2766,3000,2837,2239
3229,2543,2766,3000,2837,2239,3415
2543,2766,3000,2837,2239,3415,2619
2766,3000,2837,2239,3415,2619,2899
3000,2837,2239,3415,2619,2899,3211
2837,2239,3415,2619,2899,3211,2777
2239,3415,2619,2899,3211,2777,3162
3415,2619,2899,3211,2777,3162,2594
2619,2899,3211,2777,3162,2594,2396
2899,3211,2777,3162,2594,2396,3130
3211,2777,3162,2594,2396,3130,2669
2777,3162,2594,2396,3130,2669,2375
3162,2594,2396,3130,2669,2375,2924
2594,2396,3130,2669,2375,2924,2886
2396,3130,2669,2375,2924,2886,3004
3130,2669,2375,2924,2886,3004,2228
2669,2375,2924,2886,3004,2228,2493
2375,2924,2886,3004,2228,2493,1838
2924,2886,3004,2228,2493,1838,2787
2886,3004,2228,2493,1838,2787,2736
3004,2228,2493,1838,2787,2736,2901
2228,2493,1838,2787,2736,2901,2882
2493,1838,2787,2736,2901,2882,3106
1838,2787,2736,2901,2882,3106,2761
2787,2736,2901,2882,3106,2761,2258
2736,2901,2882,3106,2761,2258,2783
2901,2882,3106,2761,2258,2783,2889
2882,3106,2761,2258,2783,2889,2163
3106,2761,2258,2783,2889,2163,2737
2761,2258,2783,2889,2163,2737,2612
2258,2783,2889,2163,2737,2612,2534
2783,2889,2163,2737,2612,2534,2384
2889,2163,2737,2612,2534,2384,2068
2163,2737,2612,2534,2384,2068,3232
2737,2612,2534,2384,2068,3232,2862
2612,2534,2384,2068,3232,2862,2630
2534,2384,2068,3232,2862,2630,2607
2384,2068,3232,2862,2630,2607,2552
2068,3232,2862,2630,2607,2552,2811
3232,2862,2630,2607,2552,2811,3341
2862,2630,2607,2552,2811,3341,2847
2630,2607,2552,2811,3341,2847,2454
2607,2552,2811,3341,2847,2454,2691
2552,2811,3341,2847,2454,2691,2597
2811,3341,2847,2454,2691,2597,2499
3341,2847,2454,2691,2597,2499,2570
2847,2454,2691,2597,2499,2570,2680
2454,2691,2597,2499,2570,2680,1213
2691,2597,2499,2570,2680,1213,2931
2597,2499,2570,2680,1213,2931,2180
2499,2570,2680,1213,2931,2180,2970
2570,2680,1213,2931,2180,2970,2851
2680,1213,2931,2180,2970,2851,2796
1213,2931,2180,2970,2851,2796,2444
2931,2180,2970,2851,2796,2444,2688
2180,2970,2851,2796,2444,2688,2915
2970,2851,2796,2444,2688,2915,2402
2851,2796,2444,2688,2915,2402,2520
2796,2444,2688,2915,2402,2520,3122
2444,2688,2915,2402,2520,3122,2564
2688,2915,2402,2520,3122,2564,2305
2915,2402,2520,3122,2564,2305,2981
2402,2520,3122,2564,2305,2981,
