t-6,t-5, t-4,t-3,t-2,t-1,t,T+1
2913,2645,3069,3079,2968,1564,2940,2241
2645,3069,3079,2968,1564,2940,2241,2717
3069,3079,2968,1564,2940,2241,2717,2927
3079,2968,1564,2940,2241,2717,2927,3311
2968,1564,2940,2241,2717,2927,3311,2690
1564,2940,2241,2717,2927,3311,2690,2924
2940,2241,2717,2927,3311,2690,2924,2728
2241,2717,2927,3311,2690,2924,2728,3159
2717,2927,3311,2690,2924,2728,3159,3013
2927,3311,2690,2924,2728,3159,3013,2743
3311,2690,2924,2728,3159,3013,2743,2797
2690,2924,2728,3159,3013,2743,2797,3009
2924,2728,3159,3013,2743,2797,3009,2571
2728,3159,3013,2743,2797,3009,2571,3139
3159,3013,2743,2797,3009,2571,3139,2568
3013,2743,2797,3009,2571,3139,2568,3114
2743,2797,3009,2571,3139,2568,3114,2567
2797,3009,2571,3139,2568,3114,2567,2845
3009,2571,3139,2568,3114,2567,2845,2599
2571,3139,2568,3114,2567,2845,2599,2929
3139,2568,3114,2567,2845,2599,2929,1878
2568,3114,2567,2845,2599,2929,1878,2521
3114,2567,2845,2599,2929,1878,2521,2225
2567,2845,2599,2929,1878,2521,2225,2796
2845,2599,2929,1878,2521,2225,2796,2789
2599,2929,1878,2521,2225,2796,2789,2476
2929,1878,2521,2225,2796,2789,2476,2456
1878,2521,2225,2796,2789,2476,2456,2875
2521,2225,2796,2789,2476,2456,2875,2217
2225,2796,2789,2476,2456,2875,2217,3164
2796,2789,2476,2456,2875,2217,3164,2961
2789,2476,2456,2875,2217,3164,2961,2377
2476,2456,2875,2217,3164,2961,2377,1534
2456,2875,2217,3164,2961,2377,1534,3206
2875,2217,3164,2961,2377,1534,3206,2642
2217,3164,2961,2377,1534,3206,2642,3208
3164,2961,2377,1534,3206,2642,3208,2298
2961,2377,1534,3206,2642,3208,2298,2582
2377,1534,3206,2642,3208,2298,2582,2466
1534,3206,2642,3208,2298,2582,2466,1435
3206,2642,3208,2298,2582,2466,1435,2712
2642,3208,2298,2582,2466,1435,2712,2916
3208,2298,2582,2466,1435,2712,2916,2666
2298,2582,2466,1435,2712,2916,2666,2910
2582,2466,1435,2712,2916,2666,2910,2970
2466,1435,2712,2916,2666,2910,2970,2999
1435,2712,2916,2666,2910,2970,2999,2858
2712,2916,2666,2910,2970,2999,2858,2876
2916,2666,2910,2970,2999,2858,2876,3194
2666,2910,2970,2999,2858,2876,3194,2834
2910,2970,2999,2858,2876,3194,2834,2870
2970,2999,2858,2876,3194,2834,2870,2801
2999,2858,2876,3194,2834,2870,2801,2826
2858,2876,3194,2834,2870,2801,2826,3136
2876,3194,2834,2870,2801,2826,3136,2572
3194,2834,2870,2801,2826,3136,2572,2548
2834,2870,2801,2826,3136,2572,2548,3047
2870,2801,2826,3136,2572,2548,3047,2604
2801,2826,3136,2572,2548,3047,2604,3283
2826,3136,2572,2548,3047,2604,3283,2678
3136,2572,2548,3047,2604,3283,2678,2528
2572,2548,3047,2604,3283,2678,2528,2883
2548,3047,2604,3283,2678,2528,2883,2183
3047,2604,3283,2678,2528,2883,2183,3225
2604,3283,2678,2528,2883,2183,3225,2971
3283,2678,2528,2883,2183,3225,2971,3460
2678,2528,2883,2183,3225,2971,3460,3137
2528,2883,2183,3225,2971,3460,3137,2822
2883,2183,3225,2971,3460,3137,2822,2909
2183,3225,2971,3460,3137,2822,2909,2794
3225,2971,3460,3137,2822,2909,2794,2946
2971,3460,3137,2822,2909,2794,2946,3229
3460,3137,2822,2909,2794,2946,3229,2543
3137,2822,2909,2794,2946,3229,2543,2766
2822,2909,2794,2946,3229,2543,2766,3000
2909,2794,2946,3229,2543,2766,3000,2837
2794,2946,3229,2543,2766,3000,2837,2239
2946,3229,2543,2766,3000,2837,2239,3415
3229,2543,2766,3000,2837,2239,3415,2619
2543,2766,3000,2837,2239,3415,2619,2899
2766,3000,2837,2239,3415,2619,2899,3211
3000,2837,2239,3415,2619,2899,3211,2777
2837,2239,3415,2619,2899,3211,2777,3162
2239,3415,2619,2899,3211,2777,3162,2594
3415,2619,2899,3211,2777,3162,2594,2396
2619,2899,3211,2777,3162,2594,2396,3130
2899,3211,2777,3162,2594,2396,3130,2669
3211,2777,3162,2594,2396,3130,2669,2375
2777,3162,2594,2396,3130,2669,2375,2924
3162,2594,2396,3130,2669,2375,2924,2886
2594,2396,3130,2669,2375,2924,2886,3004
2396,3130,2669,2375,2924,2886,3004,2228
3130,2669,2375,2924,2886,3004,2228,2493
2669,2375,2924,2886,3004,2228,2493,1838
2375,2924,2886,3004,2228,2493,1838,2787
2924,2886,3004,2228,2493,1838,2787,2736
2886,3004,2228,2493,1838,2787,2736,2901
3004,2228,2493,1838,2787,2736,2901,2882
2228,2493,1838,2787,2736,2901,2882,3106
2493,1838,2787,2736,2901,2882,3106,2761
1838,2787,2736,2901,2882,3106,2761,2258
2787,2736,2901,2882,3106,2761,2258,2783
2736,2901,2882,3106,2761,2258,2783,2889
2901,2882,3106,2761,2258,2783,2889,2163
2882,3106,2761,2258,2783,2889,2163,2737
3106,2761,2258,2783,2889,2163,2737,2612
2761,2258,2783,2889,2163,2737,2612,2534
2258,2783,2889,2163,2737,2612,2534,2384
2783,2889,2163,2737,2612,2534,2384,2068
2889,2163,2737,2612,2534,2384,2068,3232
2163,2737,2612,2534,2384,2068,3232,2862
2737,2612,2534,2384,2068,3232,2862,2630
2612,2534,2384,2068,3232,2862,2630,2607
2534,2384,2068,3232,2862,2630,2607,2552
2384,2068,3232,2862,2630,2607,2552,2811
2068,3232,2862,2630,2607,2552,2811,3341
3232,2862,2630,2607,2552,2811,3341,2847
2862,2630,2607,2552,2811,3341,2847,2454
2630,2607,2552,2811,3341,2847,2454,2691
2607,2552,2811,3341,2847,2454,2691,2597
2552,2811,3341,2847,2454,2691,2597,2499
2811,3341,2847,2454,2691,2597,2499,2570
3341,2847,2454,2691,2597,2499,2570,2680
2847,2454,2691,2597,2499,2570,2680,1213
2454,2691,2597,2499,2570,2680,1213,2931
2691,2597,2499,2570,2680,1213,2931,2180
2597,2499,2570,2680,1213,2931,2180,2970
2499,2570,2680,1213,2931,2180,2970,2851
2570,2680,1213,2931,2180,2970,2851,2796
2680,1213,2931,2180,2970,2851,2796,2444
1213,2931,2180,2970,2851,2796,2444,2688
2931,2180,2970,2851,2796,2444,2688,2915
2180,2970,2851,2796,2444,2688,2915,2402
2970,2851,2796,2444,2688,2915,2402,2520
2851,2796,2444,2688,2915,2402,2520,3122
2796,2444,2688,2915,2402,2520,3122,2564
2444,2688,2915,2402,2520,3122,2564,2305
2688,2915,2402,2520,3122,2564,2305,2981
