t-7,t-6,t-5, t-4,t-3,t-2,t-1,t,T+1
2913,2645,3069,3079,2968,1564,2940,2241,2717
2645,3069,3079,2968,1564,2940,2241,2717,2927
3069,3079,2968,1564,2940,2241,2717,2927,3311
3079,2968,1564,2940,2241,2717,2927,3311,2690
2968,1564,2940,2241,2717,2927,3311,2690,2924
1564,2940,2241,2717,2927,3311,2690,2924,2728
2940,2241,2717,2927,3311,2690,2924,2728,3159
2241,2717,2927,3311,2690,2924,2728,3159,3013
2717,2927,3311,2690,2924,2728,3159,3013,2743
2927,3311,2690,2924,2728,3159,3013,2743,2797
3311,2690,2924,2728,3159,3013,2743,2797,3009
2690,2924,2728,3159,3013,2743,2797,3009,2571
2924,2728,3159,3013,2743,2797,3009,2571,3139
2728,3159,3013,2743,2797,3009,2571,3139,2568
3159,3013,2743,2797,3009,2571,3139,2568,3114
3013,2743,2797,3009,2571,3139,2568,3114,2567
2743,2797,3009,2571,3139,2568,3114,2567,2845
2797,3009,2571,3139,2568,3114,2567,2845,2599
3009,2571,3139,2568,3114,2567,2845,2599,2929
2571,3139,2568,3114,2567,2845,2599,2929,1878
3139,2568,3114,2567,2845,2599,2929,1878,2521
2568,3114,2567,2845,2599,2929,1878,2521,2225
3114,2567,2845,2599,2929,1878,2521,2225,2796
2567,2845,2599,2929,1878,2521,2225,2796,2789
2845,2599,2929,1878,2521,2225,2796,2789,2476
2599,2929,1878,2521,2225,2796,2789,2476,2456
2929,1878,2521,2225,2796,2789,2476,2456,2875
1878,2521,2225,2796,2789,2476,2456,2875,2217
2521,2225,2796,2789,2476,2456,2875,2217,3164
2225,2796,2789,2476,2456,2875,2217,3164,2961
2796,2789,2476,2456,2875,2217,3164,2961,2377
2789,2476,2456,2875,2217,3164,2961,2377,1534
2476,2456,2875,2217,3164,2961,2377,1534,3206
2456,2875,2217,3164,2961,2377,1534,3206,2642
2875,2217,3164,2961,2377,1534,3206,2642,3208
2217,3164,2961,2377,1534,3206,2642,3208,2298
3164,2961,2377,1534,3206,2642,3208,2298,2582
2961,2377,1534,3206,2642,3208,2298,2582,2466
2377,1534,3206,2642,3208,2298,2582,2466,1435
1534,3206,2642,3208,2298,2582,2466,1435,2712
3206,2642,3208,2298,2582,2466,1435,2712,2916
2642,3208,2298,2582,2466,1435,2712,2916,2666
3208,2298,2582,2466,1435,2712,2916,2666,2910
2298,2582,2466,1435,2712,2916,2666,2910,2970
2582,2466,1435,2712,2916,2666,2910,2970,2999
2466,1435,2712,2916,2666,2910,2970,2999,2858
1435,2712,2916,2666,2910,2970,2999,2858,2876
2712,2916,2666,2910,2970,2999,2858,2876,3194
2916,2666,2910,2970,2999,2858,2876,3194,2834
2666,2910,2970,2999,2858,2876,3194,2834,2870
2910,2970,2999,2858,2876,3194,2834,2870,2801
2970,2999,2858,2876,3194,2834,2870,2801,2826
2999,2858,2876,3194,2834,2870,2801,2826,3136
2858,2876,3194,2834,2870,2801,2826,3136,2572
2876,3194,2834,2870,2801,2826,3136,2572,2548
3194,2834,2870,2801,2826,3136,2572,2548,3047
2834,2870,2801,2826,3136,2572,2548,3047,2604
2870,2801,2826,3136,2572,2548,3047,2604,3283
2801,2826,3136,2572,2548,3047,2604,3283,2678
2826,3136,2572,2548,3047,2604,3283,2678,2528
3136,2572,2548,3047,2604,3283,2678,2528,2883
2572,2548,3047,2604,3283,2678,2528,2883,2183
2548,3047,2604,3283,2678,2528,2883,2183,3225
3047,2604,3283,2678,2528,2883,2183,3225,2971
2604,3283,2678,2528,2883,2183,3225,2971,3460
3283,2678,2528,2883,2183,3225,2971,3460,3137
2678,2528,2883,2183,3225,2971,3460,3137,2822
2528,2883,2183,3225,2971,3460,3137,2822,2909
2883,2183,3225,2971,3460,3137,2822,2909,2794
2183,3225,2971,3460,3137,2822,2909,2794,2946
3225,2971,3460,3137,2822,2909,2794,2946,3229
2971,3460,3137,2822,2909,2794,2946,3229,2543
3460,3137,2822,2909,2794,2946,3229,2543,2766
3137,2822,2909,2794,2946,3229,2543,2766,3000
2822,2909,2794,2946,3229,2543,2766,3000,2837
2909,2794,2946,3229,2543,2766,3000,2837,2239
2794,2946,3229,2543,2766,3000,2837,2239,3415
2946,3229,2543,2766,3000,2837,2239,3415,2619
3229,2543,2766,3000,2837,2239,3415,2619,2899
2543,2766,3000,2837,2239,3415,2619,2899,3211
2766,3000,2837,2239,3415,2619,2899,3211,2777
3000,2837,2239,3415,2619,2899,3211,2777,3162
2837,2239,3415,2619,2899,3211,2777,3162,2594
2239,3415,2619,2899,3211,2777,3162,2594,2396
3415,2619,2899,3211,2777,3162,2594,2396,3130
2619,2899,3211,2777,3162,2594,2396,3130,2669
2899,3211,2777,3162,2594,2396,3130,2669,2375
3211,2777,3162,2594,2396,3130,2669,2375,2924
2777,3162,2594,2396,3130,2669,2375,2924,2886
3162,2594,2396,3130,2669,2375,2924,2886,3004
2594,2396,3130,2669,2375,2924,2886,3004,2228
2396,3130,2669,2375,2924,2886,3004,2228,2493
3130,2669,2375,2924,2886,3004,2228,2493,1838
2669,2375,2924,2886,3004,2228,2493,1838,2787
2375,2924,2886,3004,2228,2493,1838,2787,2736
2924,2886,3004,2228,2493,1838,2787,2736,2901
2886,3004,2228,2493,1838,2787,2736,2901,2882
3004,2228,2493,1838,2787,2736,2901,2882,3106
2228,2493,1838,2787,2736,2901,2882,3106,2761
2493,1838,2787,2736,2901,2882,3106,2761,2258
1838,2787,2736,2901,2882,3106,2761,2258,2783
2787,2736,2901,2882,3106,2761,2258,2783,2889
2736,2901,2882,3106,2761,2258,2783,2889,2163
2901,2882,3106,2761,2258,2783,2889,2163,2737
2882,3106,2761,2258,2783,2889,2163,2737,2612
3106,2761,2258,2783,2889,2163,2737,2612,2534
2761,2258,2783,2889,2163,2737,2612,2534,2384
2258,2783,2889,2163,2737,2612,2534,2384,2068
2783,2889,2163,2737,2612,2534,2384,2068,3232
2889,2163,2737,2612,2534,2384,2068,3232,2862
2163,2737,2612,2534,2384,2068,3232,2862,2630
2737,2612,2534,2384,2068,3232,2862,2630,2607
2612,2534,2384,2068,3232,2862,2630,2607,2552
2534,2384,2068,3232,2862,2630,2607,2552,2811
2384,2068,3232,2862,2630,2607,2552,2811,3341
2068,3232,2862,2630,2607,2552,2811,3341,2847
3232,2862,2630,2607,2552,2811,3341,2847,2454
2862,2630,2607,2552,2811,3341,2847,2454,2691
2630,2607,2552,2811,3341,2847,2454,2691,2597
2607,2552,2811,3341,2847,2454,2691,2597,2499
2552,2811,3341,2847,2454,2691,2597,2499,2570
2811,3341,2847,2454,2691,2597,2499,2570,2680
3341,2847,2454,2691,2597,2499,2570,2680,1213
2847,2454,2691,2597,2499,2570,2680,1213,2931
2454,2691,2597,2499,2570,2680,1213,2931,2180
2691,2597,2499,2570,2680,1213,2931,2180,2970
2597,2499,2570,2680,1213,2931,2180,2970,2851
2499,2570,2680,1213,2931,2180,2970,2851,2796
2570,2680,1213,2931,2180,2970,2851,2796,2444
2680,1213,2931,2180,2970,2851,2796,2444,2688
1213,2931,2180,2970,2851,2796,2444,2688,2915
2931,2180,2970,2851,2796,2444,2688,2915,2402
2180,2970,2851,2796,2444,2688,2915,2402,2520
2970,2851,2796,2444,2688,2915,2402,2520,3122
2851,2796,2444,2688,2915,2402,2520,3122,2564
2796,2444,2688,2915,2402,2520,3122,2564,2305
2444,2688,2915,2402,2520,3122,2564,2305,2981
