t-8,t-7,t-6,t-5, t-4,t-3,t-2,t-1,t,T+1
2913,2645,3069,3079,2968,1564,2940,2241,2717,2927
2645,3069,3079,2968,1564,2940,2241,2717,2927,3311
3069,3079,2968,1564,2940,2241,2717,2927,3311,2690
3079,2968,1564,2940,2241,2717,2927,3311,2690,2924
2968,1564,2940,2241,2717,2927,3311,2690,2924,2728
1564,2940,2241,2717,2927,3311,2690,2924,2728,3159
2940,2241,2717,2927,3311,2690,2924,2728,3159,3013
2241,2717,2927,3311,2690,2924,2728,3159,3013,2743
2717,2927,3311,2690,2924,2728,3159,3013,2743,2797
2927,3311,2690,2924,2728,3159,3013,2743,2797,3009
3311,2690,2924,2728,3159,3013,2743,2797,3009,2571
2690,2924,2728,3159,3013,2743,2797,3009,2571,3139
2924,2728,3159,3013,2743,2797,3009,2571,3139,2568
2728,3159,3013,2743,2797,3009,2571,3139,2568,3114
3159,3013,2743,2797,3009,2571,3139,2568,3114,2567
3013,2743,2797,3009,2571,3139,2568,3114,2567,2845
2743,2797,3009,2571,3139,2568,3114,2567,2845,2599
2797,3009,2571,3139,2568,3114,2567,2845,2599,2929
3009,2571,3139,2568,3114,2567,2845,2599,2929,1878
2571,3139,2568,3114,2567,2845,2599,2929,1878,2521
3139,2568,3114,2567,2845,2599,2929,1878,2521,2225
2568,3114,2567,2845,2599,2929,1878,2521,2225,2796
3114,2567,2845,2599,2929,1878,2521,2225,2796,2789
2567,2845,2599,2929,1878,2521,2225,2796,2789,2476
2845,2599,2929,1878,2521,2225,2796,2789,2476,2456
2599,2929,1878,2521,2225,2796,2789,2476,2456,2875
2929,1878,2521,2225,2796,2789,2476,2456,2875,2217
1878,2521,2225,2796,2789,2476,2456,2875,2217,3164
2521,2225,2796,2789,2476,2456,2875,2217,3164,2961
2225,2796,2789,2476,2456,2875,2217,3164,2961,2377
2796,2789,2476,2456,2875,2217,3164,2961,2377,1534
2789,2476,2456,2875,2217,3164,2961,2377,1534,3206
2476,2456,2875,2217,3164,2961,2377,1534,3206,2642
2456,2875,2217,3164,2961,2377,1534,3206,2642,3208
2875,2217,3164,2961,2377,1534,3206,2642,3208,2298
2217,3164,2961,2377,1534,3206,2642,3208,2298,2582
3164,2961,2377,1534,3206,2642,3208,2298,2582,2466
2961,2377,1534,3206,2642,3208,2298,2582,2466,1435
2377,1534,3206,2642,3208,2298,2582,2466,1435,2712
1534,3206,2642,3208,2298,2582,2466,1435,2712,2916
3206,2642,3208,2298,2582,2466,1435,2712,2916,2666
2642,3208,2298,2582,2466,1435,2712,2916,2666,2910
3208,2298,2582,2466,1435,2712,2916,2666,2910,2970
2298,2582,2466,1435,2712,2916,2666,2910,2970,2999
2582,2466,1435,2712,2916,2666,2910,2970,2999,2858
2466,1435,2712,2916,2666,2910,2970,2999,2858,2876
1435,2712,2916,2666,2910,2970,2999,2858,2876,3194
2712,2916,2666,2910,2970,2999,2858,2876,3194,2834
2916,2666,2910,2970,2999,2858,2876,3194,2834,2870
2666,2910,2970,2999,2858,2876,3194,2834,2870,2801
2910,2970,2999,2858,2876,3194,2834,2870,2801,2826
2970,2999,2858,2876,3194,2834,2870,2801,2826,3136
2999,2858,2876,3194,2834,2870,2801,2826,3136,2572
2858,2876,3194,2834,2870,2801,2826,3136,2572,2548
2876,3194,2834,2870,2801,2826,3136,2572,2548,3047
3194,2834,2870,2801,2826,3136,2572,2548,3047,2604
2834,2870,2801,2826,3136,2572,2548,3047,2604,3283
2870,2801,2826,3136,2572,2548,3047,2604,3283,2678
2801,2826,3136,2572,2548,3047,2604,3283,2678,2528
2826,3136,2572,2548,3047,2604,3283,2678,2528,2883
3136,2572,2548,3047,2604,3283,2678,2528,2883,2183
2572,2548,3047,2604,3283,2678,2528,2883,2183,3225
2548,3047,2604,3283,2678,2528,2883,2183,3225,2971
3047,2604,3283,2678,2528,2883,2183,3225,2971,3460
2604,3283,2678,2528,2883,2183,3225,2971,3460,3137
3283,2678,2528,2883,2183,3225,2971,3460,3137,2822
2678,2528,2883,2183,3225,2971,3460,3137,2822,2909
2528,2883,2183,3225,2971,3460,3137,2822,2909,2794
2883,2183,3225,2971,3460,3137,2822,2909,2794,2946
2183,3225,2971,3460,3137,2822,2909,2794,2946,3229
3225,2971,3460,3137,2822,2909,2794,2946,3229,2543
2971,3460,3137,2822,2909,2794,2946,3229,2543,2766
3460,3137,2822,2909,2794,2946,3229,2543,2766,3000
3137,2822,2909,2794,2946,3229,2543,2766,3000,2837
2822,2909,2794,2946,3229,2543,2766,3000,2837,2239
2909,2794,2946,3229,2543,2766,3000,2837,2239,3415
2794,2946,3229,2543,2766,3000,2837,2239,3415,2619
2946,3229,2543,2766,3000,2837,2239,3415,2619,2899
3229,2543,2766,3000,2837,2239,3415,2619,2899,3211
2543,2766,3000,2837,2239,3415,2619,2899,3211,2777
2766,3000,2837,2239,3415,2619,2899,3211,2777,3162
3000,2837,2239,3415,2619,2899,3211,2777,3162,2594
2837,2239,3415,2619,2899,3211,2777,3162,2594,2396
2239,3415,2619,2899,3211,2777,3162,2594,2396,3130
3415,2619,2899,3211,2777,3162,2594,2396,3130,2669
2619,2899,3211,2777,3162,2594,2396,3130,2669,2375
2899,3211,2777,3162,2594,2396,3130,2669,2375,2924
3211,2777,3162,2594,2396,3130,2669,2375,2924,2886
2777,3162,2594,2396,3130,2669,2375,2924,2886,3004
3162,2594,2396,3130,2669,2375,2924,2886,3004,2228
2594,2396,3130,2669,2375,2924,2886,3004,2228,2493
2396,3130,2669,2375,2924,2886,3004,2228,2493,1838
3130,2669,2375,2924,2886,3004,2228,2493,1838,2787
2669,2375,2924,2886,3004,2228,2493,1838,2787,2736
2375,2924,2886,3004,2228,2493,1838,2787,2736,2901
2924,2886,3004,2228,2493,1838,2787,2736,2901,2882
2886,3004,2228,2493,1838,2787,2736,2901,2882,3106
3004,2228,2493,1838,2787,2736,2901,2882,3106,2761
2228,2493,1838,2787,2736,2901,2882,3106,2761,2258
2493,1838,2787,2736,2901,2882,3106,2761,2258,2783
1838,2787,2736,2901,2882,3106,2761,2258,2783,2889
2787,2736,2901,2882,3106,2761,2258,2783,2889,2163
2736,2901,2882,3106,2761,2258,2783,2889,2163,2737
2901,2882,3106,2761,2258,2783,2889,2163,2737,2612
2882,3106,2761,2258,2783,2889,2163,2737,2612,2534
3106,2761,2258,2783,2889,2163,2737,2612,2534,2384
2761,2258,2783,2889,2163,2737,2612,2534,2384,2068
2258,2783,2889,2163,2737,2612,2534,2384,2068,3232
2783,2889,2163,2737,2612,2534,2384,2068,3232,2862
2889,2163,2737,2612,2534,2384,2068,3232,2862,2630
2163,2737,2612,2534,2384,2068,3232,2862,2630,2607
2737,2612,2534,2384,2068,3232,2862,2630,2607,2552
2612,2534,2384,2068,3232,2862,2630,2607,2552,2811
2534,2384,2068,3232,2862,2630,2607,2552,2811,3341
2384,2068,3232,2862,2630,2607,2552,2811,3341,2847
2068,3232,2862,2630,2607,2552,2811,3341,2847,2454
3232,2862,2630,2607,2552,2811,3341,2847,2454,2691
2862,2630,2607,2552,2811,3341,2847,2454,2691,2597
2630,2607,2552,2811,3341,2847,2454,2691,2597,2499
2607,2552,2811,3341,2847,2454,2691,2597,2499,2570
2552,2811,3341,2847,2454,2691,2597,2499,2570,2680
2811,3341,2847,2454,2691,2597,2499,2570,2680,1213
3341,2847,2454,2691,2597,2499,2570,2680,1213,2931
2847,2454,2691,2597,2499,2570,2680,1213,2931,2180
2454,2691,2597,2499,2570,2680,1213,2931,2180,2970
2691,2597,2499,2570,2680,1213,2931,2180,2970,2851
2597,2499,2570,2680,1213,2931,2180,2970,2851,2796
2499,2570,2680,1213,2931,2180,2970,2851,2796,2444
2570,2680,1213,2931,2180,2970,2851,2796,2444,2688
2680,1213,2931,2180,2970,2851,2796,2444,2688,2915
1213,2931,2180,2970,2851,2796,2444,2688,2915,2402
2931,2180,2970,2851,2796,2444,2688,2915,2402,2520
2180,2970,2851,2796,2444,2688,2915,2402,2520,3122
2970,2851,2796,2444,2688,2915,2402,2520,3122,2564
2851,2796,2444,2688,2915,2402,2520,3122,2564,2305
2796,2444,2688,2915,2402,2520,3122,2564,2305,2981
2444,2688,2915,2402,2520,3122,2564,2305,2981,
