t-5, t-4,t-3,t-2,t-1,t,T+1
1892,1130,2279,1926,1233,1424,1304
1130,2279,1926,1233,1424,1304,1900
2279,1926,1233,1424,1304,1900,1876
1926,1233,1424,1304,1900,1876,1607
1233,1424,1304,1900,1876,1607,2130
1424,1304,1900,1876,1607,2130,2043
1304,1900,1876,1607,2130,2043,1593
1900,1876,1607,2130,2043,1593,1940
1876,1607,2130,2043,1593,1940,1977
1607,2130,2043,1593,1940,1977,1898
2130,2043,1593,1940,1977,1898,1323
2043,1593,1940,1977,1898,1323,2035
1593,1940,1977,1898,1323,2035,2279
1940,1977,1898,1323,2035,2279,834
1977,1898,1323,2035,2279,834,1579
1898,1323,2035,2279,834,1579,2416
1323,2035,2279,834,1579,2416,2168
2035,2279,834,1579,2416,2168,1982
2279,834,1579,2416,2168,1982,2034
834,1579,2416,2168,1982,2034,1426
1579,2416,2168,1982,2034,1426,1717
2416,2168,1982,2034,1426,1717,1951
2168,1982,2034,1426,1717,1951,1287
1982,2034,1426,1717,1951,1287,1149
2034,1426,1717,1951,1287,1149,1038
1426,1717,1951,1287,1149,1038,1269
1717,1951,1287,1149,1038,1269,1795
1951,1287,1149,1038,1269,1795,908
1287,1149,1038,1269,1795,908,1818
1149,1038,1269,1795,908,1818,1541
1038,1269,1795,908,1818,1541,1278
1269,1795,908,1818,1541,1278,2098
1795,908,1818,1541,1278,2098,2117
908,1818,1541,1278,2098,2117,1925
1818,1541,1278,2098,2117,1925,1058
1541,1278,2098,2117,1925,1058,2151
1278,2098,2117,1925,1058,2151,1616
2098,2117,1925,1058,2151,1616,1567
2117,1925,1058,2151,1616,1567,1991
1925,1058,2151,1616,1567,1991,2143
1058,2151,1616,1567,1991,2143,1813
2151,1616,1567,1991,2143,1813,1794
1616,1567,1991,2143,1813,1794,1426
1567,1991,2143,1813,1794,1426,1672
1991,2143,1813,1794,1426,1672,1803
2143,1813,1794,1426,1672,1803,936
1813,1794,1426,1672,1803,936,1108
1794,1426,1672,1803,936,1108,1871
1426,1672,1803,936,1108,1871,815
1672,1803,936,1108,1871,815,1611
1803,936,1108,1871,815,1611,1541
936,1108,1871,815,1611,1541,1828
1108,1871,815,1611,1541,1828,1731
1871,815,1611,1541,1828,1731,1148
815,1611,1541,1828,1731,1148,1121
1611,1541,1828,1731,1148,1121,2023
1541,1828,1731,1148,1121,2023,2035
1828,1731,1148,1121,2023,2035,1402
1731,1148,1121,2023,2035,1402,2394
1148,1121,2023,2035,1402,2394,1557
1121,2023,2035,1402,2394,1557,2388
2023,2035,1402,2394,1557,2388,1474
2035,1402,2394,1557,2388,1474,1693
1402,2394,1557,2388,1474,1693,1643
2394,1557,2388,1474,1693,1643,1738
1557,2388,1474,1693,1643,1738,1533
2388,1474,1693,1643,1738,1533,1372
1474,1693,1643,1738,1533,1372,1588
1693,1643,1738,1533,1372,1588,2075
1643,1738,1533,1372,1588,2075,1227
1738,1533,1372,1588,2075,1227,1505
1533,1372,1588,2075,1227,1505,1380
1372,1588,2075,1227,1505,1380,1468
1588,2075,1227,1505,1380,1468,1551
2075,1227,1505,1380,1468,1551,1617
1227,1505,1380,1468,1551,1617,1563
1505,1380,1468,1551,1617,1563,1382
1380,1468,1551,1617,1563,1382,1797
1468,1551,1617,1563,1382,1797,2079
1551,1617,1563,1382,1797,2079,1453
1617,1563,1382,1797,2079,1453,1151
1563,1382,1797,2079,1453,1151,1573
1382,1797,2079,1453,1151,1573,1461
1797,2079,1453,1151,1573,1461,1870
2079,1453,1151,1573,1461,1870,1059
1453,1151,1573,1461,1870,1059,1525
1151,1573,1461,1870,1059,1525,1437
1573,1461,1870,1059,1525,1437,1104
1461,1870,1059,1525,1437,1104,1658
1870,1059,1525,1437,1104,1658,1414
1059,1525,1437,1104,1658,1414,1365
1525,1437,1104,1658,1414,1365,1210
1437,1104,1658,1414,1365,1210,2108
1104,1658,1414,1365,1210,2108,2194
1658,1414,1365,1210,2108,2194,1226
1414,1365,1210,2108,2194,1226,1412
1365,1210,2108,2194,1226,1412,1059
1210,2108,2194,1226,1412,1059,1801
2108,2194,1226,1412,1059,1801,1419
2194,1226,1412,1059,1801,1419,1883
1226,1412,1059,1801,1419,1883,1996
1412,1059,1801,1419,1883,1996,1434
1059,1801,1419,1883,1996,1434,2151
1801,1419,1883,1996,1434,2151,1387
1419,1883,1996,1434,2151,1387,1296
1883,1996,1434,2151,1387,1296,1378
1996,1434,2151,1387,1296,1378,1739
1434,2151,1387,1296,1378,1739,1404
2151,1387,1296,1378,1739,1404,1776
1387,1296,1378,1739,1404,1776,1158
1296,1378,1739,1404,1776,1158,1565
1378,1739,1404,1776,1158,1565,1835
1739,1404,1776,1158,1565,1835,1721
1404,1776,1158,1565,1835,1721,1858
1776,1158,1565,1835,1721,1858,1367
1158,1565,1835,1721,1858,1367,1660
1565,1835,1721,1858,1367,1660,2033
1835,1721,1858,1367,1660,2033,1217
1721,1858,1367,1660,2033,1217,1769
1858,1367,1660,2033,1217,1769,1653
1367,1660,2033,1217,1769,1653,1440
1660,2033,1217,1769,1653,1440,1677
2033,1217,1769,1653,1440,1677,1880
1217,1769,1653,1440,1677,1880,2203
1769,1653,1440,1677,1880,2203,1703
1653,1440,1677,1880,2203,1703,1617
1440,1677,1880,2203,1703,1617,1600
1677,1880,2203,1703,1617,1600,1422
1880,2203,1703,1617,1600,1422,1547
