t-6,t-5, t-4,t-3,t-2,t-1,t,T+1
1892,1130,2279,1926,1233,1424,1304,1900
1130,2279,1926,1233,1424,1304,1900,1876
2279,1926,1233,1424,1304,1900,1876,1607
1926,1233,1424,1304,1900,1876,1607,2130
1233,1424,1304,1900,1876,1607,2130,2043
1424,1304,1900,1876,1607,2130,2043,1593
1304,1900,1876,1607,2130,2043,1593,1940
1900,1876,1607,2130,2043,1593,1940,1977
1876,1607,2130,2043,1593,1940,1977,1898
1607,2130,2043,1593,1940,1977,1898,1323
2130,2043,1593,1940,1977,1898,1323,2035
2043,1593,1940,1977,1898,1323,2035,2279
1593,1940,1977,1898,1323,2035,2279,834
1940,1977,1898,1323,2035,2279,834,1579
1977,1898,1323,2035,2279,834,1579,2416
1898,1323,2035,2279,834,1579,2416,2168
1323,2035,2279,834,1579,2416,2168,1982
2035,2279,834,1579,2416,2168,1982,2034
2279,834,1579,2416,2168,1982,2034,1426
834,1579,2416,2168,1982,2034,1426,1717
1579,2416,2168,1982,2034,1426,1717,1951
2416,2168,1982,2034,1426,1717,1951,1287
2168,1982,2034,1426,1717,1951,1287,1149
1982,2034,1426,1717,1951,1287,1149,1038
2034,1426,1717,1951,1287,1149,1038,1269
1426,1717,1951,1287,1149,1038,1269,1795
1717,1951,1287,1149,1038,1269,1795,908
1951,1287,1149,1038,1269,1795,908,1818
1287,1149,1038,1269,1795,908,1818,1541
1149,1038,1269,1795,908,1818,1541,1278
1038,1269,1795,908,1818,1541,1278,2098
1269,1795,908,1818,1541,1278,2098,2117
1795,908,1818,1541,1278,2098,2117,1925
908,1818,1541,1278,2098,2117,1925,1058
1818,1541,1278,2098,2117,1925,1058,2151
1541,1278,2098,2117,1925,1058,2151,1616
1278,2098,2117,1925,1058,2151,1616,1567
2098,2117,1925,1058,2151,1616,1567,1991
2117,1925,1058,2151,1616,1567,1991,2143
1925,1058,2151,1616,1567,1991,2143,1813
1058,2151,1616,1567,1991,2143,1813,1794
2151,1616,1567,1991,2143,1813,1794,1426
1616,1567,1991,2143,1813,1794,1426,1672
1567,1991,2143,1813,1794,1426,1672,1803
1991,2143,1813,1794,1426,1672,1803,936
2143,1813,1794,1426,1672,1803,936,1108
1813,1794,1426,1672,1803,936,1108,1871
1794,1426,1672,1803,936,1108,1871,815
1426,1672,1803,936,1108,1871,815,1611
1672,1803,936,1108,1871,815,1611,1541
1803,936,1108,1871,815,1611,1541,1828
936,1108,1871,815,1611,1541,1828,1731
1108,1871,815,1611,1541,1828,1731,1148
1871,815,1611,1541,1828,1731,1148,1121
815,1611,1541,1828,1731,1148,1121,2023
1611,1541,1828,1731,1148,1121,2023,2035
1541,1828,1731,1148,1121,2023,2035,1402
1828,1731,1148,1121,2023,2035,1402,2394
1731,1148,1121,2023,2035,1402,2394,1557
1148,1121,2023,2035,1402,2394,1557,2388
1121,2023,2035,1402,2394,1557,2388,1474
2023,2035,1402,2394,1557,2388,1474,1693
2035,1402,2394,1557,2388,1474,1693,1643
1402,2394,1557,2388,1474,1693,1643,1738
2394,1557,2388,1474,1693,1643,1738,1533
1557,2388,1474,1693,1643,1738,1533,1372
2388,1474,1693,1643,1738,1533,1372,1588
1474,1693,1643,1738,1533,1372,1588,2075
1693,1643,1738,1533,1372,1588,2075,1227
1643,1738,1533,1372,1588,2075,1227,1505
1738,1533,1372,1588,2075,1227,1505,1380
1533,1372,1588,2075,1227,1505,1380,1468
1372,1588,2075,1227,1505,1380,1468,1551
1588,2075,1227,1505,1380,1468,1551,1617
2075,1227,1505,1380,1468,1551,1617,1563
1227,1505,1380,1468,1551,1617,1563,1382
1505,1380,1468,1551,1617,1563,1382,1797
1380,1468,1551,1617,1563,1382,1797,2079
1468,1551,1617,1563,1382,1797,2079,1453
1551,1617,1563,1382,1797,2079,1453,1151
1617,1563,1382,1797,2079,1453,1151,1573
1563,1382,1797,2079,1453,1151,1573,1461
1382,1797,2079,1453,1151,1573,1461,1870
1797,2079,1453,1151,1573,1461,1870,1059
2079,1453,1151,1573,1461,1870,1059,1525
1453,1151,1573,1461,1870,1059,1525,1437
1151,1573,1461,1870,1059,1525,1437,1104
1573,1461,1870,1059,1525,1437,1104,1658
1461,1870,1059,1525,1437,1104,1658,1414
1870,1059,1525,1437,1104,1658,1414,1365
1059,1525,1437,1104,1658,1414,1365,1210
1525,1437,1104,1658,1414,1365,1210,2108
1437,1104,1658,1414,1365,1210,2108,2194
1104,1658,1414,1365,1210,2108,2194,1226
1658,1414,1365,1210,2108,2194,1226,1412
1414,1365,1210,2108,2194,1226,1412,1059
1365,1210,2108,2194,1226,1412,1059,1801
1210,2108,2194,1226,1412,1059,1801,1419
2108,2194,1226,1412,1059,1801,1419,1883
2194,1226,1412,1059,1801,1419,1883,1996
1226,1412,1059,1801,1419,1883,1996,1434
1412,1059,1801,1419,1883,1996,1434,2151
1059,1801,1419,1883,1996,1434,2151,1387
1801,1419,1883,1996,1434,2151,1387,1296
1419,1883,1996,1434,2151,1387,1296,1378
1883,1996,1434,2151,1387,1296,1378,1739
1996,1434,2151,1387,1296,1378,1739,1404
1434,2151,1387,1296,1378,1739,1404,1776
2151,1387,1296,1378,1739,1404,1776,1158
1387,1296,1378,1739,1404,1776,1158,1565
1296,1378,1739,1404,1776,1158,1565,1835
1378,1739,1404,1776,1158,1565,1835,1721
1739,1404,1776,1158,1565,1835,1721,1858
1404,1776,1158,1565,1835,1721,1858,1367
1776,1158,1565,1835,1721,1858,1367,1660
1158,1565,1835,1721,1858,1367,1660,2033
1565,1835,1721,1858,1367,1660,2033,1217
1835,1721,1858,1367,1660,2033,1217,1769
1721,1858,1367,1660,2033,1217,1769,1653
1858,1367,1660,2033,1217,1769,1653,1440
1367,1660,2033,1217,1769,1653,1440,1677
