t-7,t-6,t-5, t-4,t-3,t-2,t-1,t,T+1
1892,1130,2279,1926,1233,1424,1304,1900,1876
1130,2279,1926,1233,1424,1304,1900,1876,1607
2279,1926,1233,1424,1304,1900,1876,1607,2130
1926,1233,1424,1304,1900,1876,1607,2130,2043
1233,1424,1304,1900,1876,1607,2130,2043,1593
1424,1304,1900,1876,1607,2130,2043,1593,1940
1304,1900,1876,1607,2130,2043,1593,1940,1977
1900,1876,1607,2130,2043,1593,1940,1977,1898
1876,1607,2130,2043,1593,1940,1977,1898,1323
1607,2130,2043,1593,1940,1977,1898,1323,2035
2130,2043,1593,1940,1977,1898,1323,2035,2279
2043,1593,1940,1977,1898,1323,2035,2279,834
1593,1940,1977,1898,1323,2035,2279,834,1579
1940,1977,1898,1323,2035,2279,834,1579,2416
1977,1898,1323,2035,2279,834,1579,2416,2168
1898,1323,2035,2279,834,1579,2416,2168,1982
1323,2035,2279,834,1579,2416,2168,1982,2034
2035,2279,834,1579,2416,2168,1982,2034,1426
2279,834,1579,2416,2168,1982,2034,1426,1717
834,1579,2416,2168,1982,2034,1426,1717,1951
1579,2416,2168,1982,2034,1426,1717,1951,1287
2416,2168,1982,2034,1426,1717,1951,1287,1149
2168,1982,2034,1426,1717,1951,1287,1149,1038
1982,2034,1426,1717,1951,1287,1149,1038,1269
2034,1426,1717,1951,1287,1149,1038,1269,1795
1426,1717,1951,1287,1149,1038,1269,1795,908
1717,1951,1287,1149,1038,1269,1795,908,1818
1951,1287,1149,1038,1269,1795,908,1818,1541
1287,1149,1038,1269,1795,908,1818,1541,1278
1149,1038,1269,1795,908,1818,1541,1278,2098
1038,1269,1795,908,1818,1541,1278,2098,2117
1269,1795,908,1818,1541,1278,2098,2117,1925
1795,908,1818,1541,1278,2098,2117,1925,1058
908,1818,1541,1278,2098,2117,1925,1058,2151
1818,1541,1278,2098,2117,1925,1058,2151,1616
1541,1278,2098,2117,1925,1058,2151,1616,1567
1278,2098,2117,1925,1058,2151,1616,1567,1991
2098,2117,1925,1058,2151,1616,1567,1991,2143
2117,1925,1058,2151,1616,1567,1991,2143,1813
1925,1058,2151,1616,1567,1991,2143,1813,1794
1058,2151,1616,1567,1991,2143,1813,1794,1426
2151,1616,1567,1991,2143,1813,1794,1426,1672
1616,1567,1991,2143,1813,1794,1426,1672,1803
1567,1991,2143,1813,1794,1426,1672,1803,936
1991,2143,1813,1794,1426,1672,1803,936,1108
2143,1813,1794,1426,1672,1803,936,1108,1871
1813,1794,1426,1672,1803,936,1108,1871,815
1794,1426,1672,1803,936,1108,1871,815,1611
1426,1672,1803,936,1108,1871,815,1611,1541
1672,1803,936,1108,1871,815,1611,1541,1828
1803,936,1108,1871,815,1611,1541,1828,1731
936,1108,1871,815,1611,1541,1828,1731,1148
1108,1871,815,1611,1541,1828,1731,1148,1121
1871,815,1611,1541,1828,1731,1148,1121,2023
815,1611,1541,1828,1731,1148,1121,2023,2035
1611,1541,1828,1731,1148,1121,2023,2035,1402
1541,1828,1731,1148,1121,2023,2035,1402,2394
1828,1731,1148,1121,2023,2035,1402,2394,1557
1731,1148,1121,2023,2035,1402,2394,1557,2388
1148,1121,2023,2035,1402,2394,1557,2388,1474
1121,2023,2035,1402,2394,1557,2388,1474,1693
2023,2035,1402,2394,1557,2388,1474,1693,1643
2035,1402,2394,1557,2388,1474,1693,1643,1738
1402,2394,1557,2388,1474,1693,1643,1738,1533
2394,1557,2388,1474,1693,1643,1738,1533,1372
1557,2388,1474,1693,1643,1738,1533,1372,1588
2388,1474,1693,1643,1738,1533,1372,1588,2075
1474,1693,1643,1738,1533,1372,1588,2075,1227
1693,1643,1738,1533,1372,1588,2075,1227,1505
1643,1738,1533,1372,1588,2075,1227,1505,1380
1738,1533,1372,1588,2075,1227,1505,1380,1468
1533,1372,1588,2075,1227,1505,1380,1468,1551
1372,1588,2075,1227,1505,1380,1468,1551,1617
1588,2075,1227,1505,1380,1468,1551,1617,1563
2075,1227,1505,1380,1468,1551,1617,1563,1382
1227,1505,1380,1468,1551,1617,1563,1382,1797
1505,1380,1468,1551,1617,1563,1382,1797,2079
1380,1468,1551,1617,1563,1382,1797,2079,1453
1468,1551,1617,1563,1382,1797,2079,1453,1151
1551,1617,1563,1382,1797,2079,1453,1151,1573
1617,1563,1382,1797,2079,1453,1151,1573,1461
1563,1382,1797,2079,1453,1151,1573,1461,1870
1382,1797,2079,1453,1151,1573,1461,1870,1059
1797,2079,1453,1151,1573,1461,1870,1059,1525
2079,1453,1151,1573,1461,1870,1059,1525,1437
1453,1151,1573,1461,1870,1059,1525,1437,1104
1151,1573,1461,1870,1059,1525,1437,1104,1658
1573,1461,1870,1059,1525,1437,1104,1658,1414
1461,1870,1059,1525,1437,1104,1658,1414,1365
1870,1059,1525,1437,1104,1658,1414,1365,1210
1059,1525,1437,1104,1658,1414,1365,1210,2108
1525,1437,1104,1658,1414,1365,1210,2108,2194
1437,1104,1658,1414,1365,1210,2108,2194,1226
1104,1658,1414,1365,1210,2108,2194,1226,1412
1658,1414,1365,1210,2108,2194,1226,1412,1059
1414,1365,1210,2108,2194,1226,1412,1059,1801
1365,1210,2108,2194,1226,1412,1059,1801,1419
1210,2108,2194,1226,1412,1059,1801,1419,1883
2108,2194,1226,1412,1059,1801,1419,1883,1996
