t-8,t-7,t-6,t-5, t-4,t-3,t-2,t-1,t,T+1
1892,1130,2279,1926,1233,1424,1304,1900,1876,1607
1130,2279,1926,1233,1424,1304,1900,1876,1607,2130
2279,1926,1233,1424,1304,1900,1876,1607,2130,2043
1926,1233,1424,1304,1900,1876,1607,2130,2043,1593
1233,1424,1304,1900,1876,1607,2130,2043,1593,1940
1424,1304,1900,1876,1607,2130,2043,1593,1940,1977
1304,1900,1876,1607,2130,2043,1593,1940,1977,1898
1900,1876,1607,2130,2043,1593,1940,1977,1898,1323
1876,1607,2130,2043,1593,1940,1977,1898,1323,2035
1607,2130,2043,1593,1940,1977,1898,1323,2035,2279
2130,2043,1593,1940,1977,1898,1323,2035,2279,834
2043,1593,1940,1977,1898,1323,2035,2279,834,1579
1593,1940,1977,1898,1323,2035,2279,834,1579,2416
1940,1977,1898,1323,2035,2279,834,1579,2416,2168
1977,1898,1323,2035,2279,834,1579,2416,2168,1982
1898,1323,2035,2279,834,1579,2416,2168,1982,2034
1323,2035,2279,834,1579,2416,2168,1982,2034,1426
2035,2279,834,1579,2416,2168,1982,2034,1426,1717
2279,834,1579,2416,2168,1982,2034,1426,1717,1951
834,1579,2416,2168,1982,2034,1426,1717,1951,1287
1579,2416,2168,1982,2034,1426,1717,1951,1287,1149
2416,2168,1982,2034,1426,1717,1951,1287,1149,1038
2168,1982,2034,1426,1717,1951,1287,1149,1038,1269
1982,2034,1426,1717,1951,1287,1149,1038,1269,1795
2034,1426,1717,1951,1287,1149,1038,1269,1795,908
1426,1717,1951,1287,1149,1038,1269,1795,908,1818
1717,1951,1287,1149,1038,1269,1795,908,1818,1541
1951,1287,1149,1038,1269,1795,908,1818,1541,1278
1287,1149,1038,1269,1795,908,1818,1541,1278,2098
1149,1038,1269,1795,908,1818,1541,1278,2098,2117
1038,1269,1795,908,1818,1541,1278,2098,2117,1925
1269,1795,908,1818,1541,1278,2098,2117,1925,1058
1795,908,1818,1541,1278,2098,2117,1925,1058,2151
908,1818,1541,1278,2098,2117,1925,1058,2151,1616
1818,1541,1278,2098,2117,1925,1058,2151,1616,1567
1541,1278,2098,2117,1925,1058,2151,1616,1567,1991
1278,2098,2117,1925,1058,2151,1616,1567,1991,2143
2098,2117,1925,1058,2151,1616,1567,1991,2143,1813
2117,1925,1058,2151,1616,1567,1991,2143,1813,1794
1925,1058,2151,1616,1567,1991,2143,1813,1794,1426
1058,2151,1616,1567,1991,2143,1813,1794,1426,1672
2151,1616,1567,1991,2143,1813,1794,1426,1672,1803
1616,1567,1991,2143,1813,1794,1426,1672,1803,936
1567,1991,2143,1813,1794,1426,1672,1803,936,1108
1991,2143,1813,1794,1426,1672,1803,936,1108,1871
2143,1813,1794,1426,1672,1803,936,1108,1871,815
1813,1794,1426,1672,1803,936,1108,1871,815,1611
1794,1426,1672,1803,936,1108,1871,815,1611,1541
1426,1672,1803,936,1108,1871,815,1611,1541,1828
1672,1803,936,1108,1871,815,1611,1541,1828,1731
1803,936,1108,1871,815,1611,1541,1828,1731,1148
936,1108,1871,815,1611,1541,1828,1731,1148,1121
1108,1871,815,1611,1541,1828,1731,1148,1121,2023
1871,815,1611,1541,1828,1731,1148,1121,2023,2035
815,1611,1541,1828,1731,1148,1121,2023,2035,1402
1611,1541,1828,1731,1148,1121,2023,2035,1402,2394
1541,1828,1731,1148,1121,2023,2035,1402,2394,1557
1828,1731,1148,1121,2023,2035,1402,2394,1557,2388
1731,1148,1121,2023,2035,1402,2394,1557,2388,1474
1148,1121,2023,2035,1402,2394,1557,2388,1474,1693
1121,2023,2035,1402,2394,1557,2388,1474,1693,1643
2023,2035,1402,2394,1557,2388,1474,1693,1643,1738
2035,1402,2394,1557,2388,1474,1693,1643,1738,1533
1402,2394,1557,2388,1474,1693,1643,1738,1533,1372
2394,1557,2388,1474,1693,1643,1738,1533,1372,1588
1557,2388,1474,1693,1643,1738,1533,1372,1588,2075
2388,1474,1693,1643,1738,1533,1372,1588,2075,1227
1474,1693,1643,1738,1533,1372,1588,2075,1227,1505
1693,1643,1738,1533,1372,1588,2075,1227,1505,1380
1643,1738,1533,1372,1588,2075,1227,1505,1380,1468
1738,1533,1372,1588,2075,1227,1505,1380,1468,1551
1533,1372,1588,2075,1227,1505,1380,1468,1551,1617
1372,1588,2075,1227,1505,1380,1468,1551,1617,1563
1588,2075,1227,1505,1380,1468,1551,1617,1563,1382
2075,1227,1505,1380,1468,1551,1617,1563,1382,1797
1227,1505,1380,1468,1551,1617,1563,1382,1797,2079
1505,1380,1468,1551,1617,1563,1382,1797,2079,1453
1380,1468,1551,1617,1563,1382,1797,2079,1453,1151
1468,1551,1617,1563,1382,1797,2079,1453,1151,1573
1551,1617,1563,1382,1797,2079,1453,1151,1573,1461
1617,1563,1382,1797,2079,1453,1151,1573,1461,1870
1563,1382,1797,2079,1453,1151,1573,1461,1870,1059
1382,1797,2079,1453,1151,1573,1461,1870,1059,1525
1797,2079,1453,1151,1573,1461,1870,1059,1525,1437
2079,1453,1151,1573,1461,1870,1059,1525,1437,1104
1453,1151,1573,1461,1870,1059,1525,1437,1104,1658
1151,1573,1461,1870,1059,1525,1437,1104,1658,1414
1573,1461,1870,1059,1525,1437,1104,1658,1414,1365
1461,1870,1059,1525,1437,1104,1658,1414,1365,1210
1870,1059,1525,1437,1104,1658,1414,1365,1210,2108
1059,1525,1437,1104,1658,1414,1365,1210,2108,2194
1525,1437,1104,1658,1414,1365,1210,2108,2194,1226
1437,1104,1658,1414,1365,1210,2108,2194,1226,1412
1104,1658,1414,1365,1210,2108,2194,1226,1412,1059
1658,1414,1365,1210,2108,2194,1226,1412,1059,1801
1414,1365,1210,2108,2194,1226,1412,1059,1801,1419
1365,1210,2108,2194,1226,1412,1059,1801,1419,1883
1210,2108,2194,1226,1412,1059,1801,1419,1883,1996
2108,2194,1226,1412,1059,1801,1419,1883,1996,1434
2194,1226,1412,1059,1801,1419,1883,1996,1434,2151
1226,1412,1059,1801,1419,1883,1996,1434,2151,1387
1412,1059,1801,1419,1883,1996,1434,2151,1387,1296
1059,1801,1419,1883,1996,1434,2151,1387,1296,1378
1801,1419,1883,1996,1434,2151,1387,1296,1378,1739
1419,1883,1996,1434,2151,1387,1296,1378,1739,1404
1883,1996,1434,2151,1387,1296,1378,1739,1404,1776
1996,1434,2151,1387,1296,1378,1739,1404,1776,1158
1434,2151,1387,1296,1378,1739,1404,1776,1158,1565
2151,1387,1296,1378,1739,1404,1776,1158,1565,1835
1387,1296,1378,1739,1404,1776,1158,1565,1835,1721
1296,1378,1739,1404,1776,1158,1565,1835,1721,1858
1378,1739,1404,1776,1158,1565,1835,1721,1858,1367
1739,1404,1776,1158,1565,1835,1721,1858,1367,1660
1404,1776,1158,1565,1835,1721,1858,1367,1660,2033
1776,1158,1565,1835,1721,1858,1367,1660,2033,1217
1158,1565,1835,1721,1858,1367,1660,2033,1217,1769
1565,1835,1721,1858,1367,1660,2033,1217,1769,1653
1835,1721,1858,1367,1660,2033,1217,1769,1653,1440
1721,1858,1367,1660,2033,1217,1769,1653,1440,1677
1858,1367,1660,2033,1217,1769,1653,1440,1677,1880
1367,1660,2033,1217,1769,1653,1440,1677,1880,2203
1660,2033,1217,1769,1653,1440,1677,1880,2203,1703
2033,1217,1769,1653,1440,1677,1880,2203,1703,1617
1217,1769,1653,1440,1677,1880,2203,1703,1617,1600
1769,1653,1440,1677,1880,2203,1703,1617,1600,1422
1653,1440,1677,1880,2203,1703,1617,1600,1422,1547
1440,1677,1880,2203,1703,1617,1600,1422,1547,1949
1677,1880,2203,1703,1617,1600,1422,1547,1949,2035
1880,2203,1703,1617,1600,1422,1547,1949,2035,899
2203,1703,1617,1600,1422,1547,1949,2035,899,1383
1703,1617,1600,1422,1547,1949,2035,899,1383,1846
1617,1600,1422,1547,1949,2035,899,1383,1846,1127
1600,1422,1547,1949,2035,899,1383,1846,1127,2285
1422,1547,1949,2035,899,1383,1846,1127,2285,908
1547,1949,2035,899,1383,1846,1127,2285,908,1862
1949,2035,899,1383,1846,1127,2285,908,1862,1475
2035,899,1383,1846,1127,2285,908,1862,1475,
