t-4,t-3,t-2,t-1,t,T+1
1879,1656,2062,2105,1620,1483
1656,2062,2105,1620,1483,2124
2062,2105,1620,1483,2124,1616
2105,1620,1483,2124,1616,1840
1620,1483,2124,1616,1840,1433
1483,2124,1616,1840,1433,1685
2124,1616,1840,1433,1685,1881
1616,1840,1433,1685,1881,2385
1840,1433,1685,1881,2385,1327
1433,1685,1881,2385,1327,1390
1685,1881,2385,1327,1390,1508
1881,2385,1327,1390,1508,1250
2385,1327,1390,1508,1250,1693
1327,1390,1508,1250,1693,1626
1390,1508,1250,1693,1626,2222
1508,1250,1693,1626,2222,2135
1250,1693,1626,2222,2135,2256
1693,1626,2222,2135,2256,2017
1626,2222,2135,2256,2017,1388
2222,2135,2256,2017,1388,773
2135,2256,2017,1388,773,1981
2256,2017,1388,773,1981,1992
2017,1388,773,1981,1992,1020
1388,773,1981,1992,1020,2372
773,1981,1992,1020,2372,1256
1981,1992,1020,2372,1256,2112
1992,1020,2372,1256,2112,1957
1020,2372,1256,2112,1957,1262
2372,1256,2112,1957,1262,1748
1256,2112,1957,1262,1748,1738
2112,1957,1262,1748,1738,1003
1957,1262,1748,1738,1003,1573
1262,1748,1738,1003,1573,1608
1748,1738,1003,1573,1608,2028
1738,1003,1573,1608,2028,1794
1003,1573,1608,2028,1794,1215
1573,1608,2028,1794,1215,1170
1608,2028,1794,1215,1170,1828
2028,1794,1215,1170,1828,1810
1794,1215,1170,1828,1810,2036
1215,1170,1828,1810,2036,2678
1170,1828,1810,2036,2678,1055
1828,1810,2036,2678,1055,1531
1810,2036,2678,1055,1531,1220
2036,2678,1055,1531,1220,1958
2678,1055,1531,1220,1958,1949
1055,1531,1220,1958,1949,1720
1531,1220,1958,1949,1720,2269
1220,1958,1949,1720,2269,1174
1958,1949,1720,2269,1174,2099
1949,1720,2269,1174,2099,1507
1720,2269,1174,2099,1507,1320
2269,1174,2099,1507,1320,1301
1174,2099,1507,1320,1301,1729
2099,1507,1320,1301,1729,1898
1507,1320,1301,1729,1898,1736
1320,1301,1729,1898,1736,2060
1301,1729,1898,1736,2060,1713
1729,1898,1736,2060,1713,1768
1898,1736,2060,1713,1768,1895
1736,2060,1713,1768,1895,1688
2060,1713,1768,1895,1688,1596
1713,1768,1895,1688,1596,1525
1768,1895,1688,1596,1525,1112
1895,1688,1596,1525,1112,1359
1688,1596,1525,1112,1359,1806
1596,1525,1112,1359,1806,2041
1525,1112,1359,1806,2041,1397
1112,1359,1806,2041,1397,2126
1359,1806,2041,1397,2126,1372
1806,2041,1397,2126,1372,2357
2041,1397,2126,1372,2357,1832
1397,2126,1372,2357,1832,2329
2126,1372,2357,1832,2329,1835
1372,2357,1832,2329,1835,1218
2357,1832,2329,1835,1218,1179
1832,2329,1835,1218,1179,1798
2329,1835,1218,1179,1798,2405
1835,1218,1179,1798,2405,2225
1218,1179,1798,2405,2225,1800
1179,1798,2405,2225,1800,1210
1798,2405,2225,1800,1210,2142
2405,2225,1800,1210,2142,2156
2225,1800,1210,2142,2156,1657
1800,1210,2142,2156,1657,2433
1210,2142,2156,1657,2433,2082
2142,2156,1657,2433,2082,1629
2156,1657,2433,2082,1629,2021
1657,2433,2082,1629,2021,1427
2433,2082,1629,2021,1427,1384
2082,1629,2021,1427,1384,1689
1629,2021,1427,1384,1689,1348
2021,1427,1384,1689,1348,1709
1427,1384,1689,1348,1709,2073
1384,1689,1348,1709,2073,1593
1689,1348,1709,2073,1593,1292
1348,1709,2073,1593,1292,1860
1709,2073,1593,1292,1860,1403
2073,1593,1292,1860,1403,2278
1593,1292,1860,1403,2278,1481
1292,1860,1403,2278,1481,1448
1860,1403,2278,1481,1448,1601
1403,2278,1481,1448,1601,1395
2278,1481,1448,1601,1395,1360
1481,1448,1601,1395,1360,1983
1448,1601,1395,1360,1983,1210
1601,1395,1360,1983,1210,2507
1395,1360,1983,1210,2507,1425
1360,1983,1210,2507,1425,1475
1983,1210,2507,1425,1475,1135
1210,2507,1425,1475,1135,1375
2507,1425,1475,1135,1375,2056
1425,1475,1135,1375,2056,1658
1475,1135,1375,2056,1658,1899
1135,1375,2056,1658,1899,1265
1375,2056,1658,1899,1265,1505
2056,1658,1899,1265,1505,2095
1658,1899,1265,1505,2095,1495
1899,1265,1505,2095,1495,1693
1265,1505,2095,1495,1693,1550
1505,2095,1495,1693,1550,1660
2095,1495,1693,1550,1660,2114
1495,1693,1550,1660,2114,1875
1693,1550,1660,2114,1875,1239
1550,1660,2114,1875,1239,1163
1660,2114,1875,1239,1163,1274
2114,1875,1239,1163,1274,1741
1875,1239,1163,1274,1741,1212
1239,1163,1274,1741,1212,2014
1163,1274,1741,1212,2014,1755
1274,1741,1212,2014,1755,2149
1741,1212,2014,1755,2149,1714
1212,2014,1755,2149,1714,1481
2014,1755,2149,1714,1481,1988
1755,2149,1714,1481,1988,1972
2149,1714,1481,1988,1972,1828
1714,1481,1988,1972,1828,1599
1481,1988,1972,1828,1599,1702
1988,1972,1828,1599,1702,1259
1972,1828,1599,1702,1259,1687
