t-5,t-4,t-3,t-2,t-1,t,T+1
1879,1656,2062,2105,1620,1483,2124
1656,2062,2105,1620,1483,2124,1616
2062,2105,1620,1483,2124,1616,1840
2105,1620,1483,2124,1616,1840,1433
1620,1483,2124,1616,1840,1433,1685
1483,2124,1616,1840,1433,1685,1881
2124,1616,1840,1433,1685,1881,2385
1616,1840,1433,1685,1881,2385,1327
1840,1433,1685,1881,2385,1327,1390
1433,1685,1881,2385,1327,1390,1508
1685,1881,2385,1327,1390,1508,1250
1881,2385,1327,1390,1508,1250,1693
2385,1327,1390,1508,1250,1693,1626
1327,1390,1508,1250,1693,1626,2222
1390,1508,1250,1693,1626,2222,2135
1508,1250,1693,1626,2222,2135,2256
1250,1693,1626,2222,2135,2256,2017
1693,1626,2222,2135,2256,2017,1388
1626,2222,2135,2256,2017,1388,773
2222,2135,2256,2017,1388,773,1981
2135,2256,2017,1388,773,1981,1992
2256,2017,1388,773,1981,1992,1020
2017,1388,773,1981,1992,1020,2372
1388,773,1981,1992,1020,2372,1256
773,1981,1992,1020,2372,1256,2112
1981,1992,1020,2372,1256,2112,1957
1992,1020,2372,1256,2112,1957,1262
1020,2372,1256,2112,1957,1262,1748
2372,1256,2112,1957,1262,1748,1738
1256,2112,1957,1262,1748,1738,1003
2112,1957,1262,1748,1738,1003,1573
1957,1262,1748,1738,1003,1573,1608
1262,1748,1738,1003,1573,1608,2028
1748,1738,1003,1573,1608,2028,1794
1738,1003,1573,1608,2028,1794,1215
1003,1573,1608,2028,1794,1215,1170
1573,1608,2028,1794,1215,1170,1828
1608,2028,1794,1215,1170,1828,1810
2028,1794,1215,1170,1828,1810,2036
1794,1215,1170,1828,1810,2036,2678
1215,1170,1828,1810,2036,2678,1055
1170,1828,1810,2036,2678,1055,1531
1828,1810,2036,2678,1055,1531,1220
1810,2036,2678,1055,1531,1220,1958
2036,2678,1055,1531,1220,1958,1949
2678,1055,1531,1220,1958,1949,1720
1055,1531,1220,1958,1949,1720,2269
1531,1220,1958,1949,1720,2269,1174
1220,1958,1949,1720,2269,1174,2099
1958,1949,1720,2269,1174,2099,1507
1949,1720,2269,1174,2099,1507,1320
1720,2269,1174,2099,1507,1320,1301
2269,1174,2099,1507,1320,1301,1729
1174,2099,1507,1320,1301,1729,1898
2099,1507,1320,1301,1729,1898,1736
1507,1320,1301,1729,1898,1736,2060
1320,1301,1729,1898,1736,2060,1713
1301,1729,1898,1736,2060,1713,1768
1729,1898,1736,2060,1713,1768,1895
1898,1736,2060,1713,1768,1895,1688
1736,2060,1713,1768,1895,1688,1596
2060,1713,1768,1895,1688,1596,1525
1713,1768,1895,1688,1596,1525,1112
1768,1895,1688,1596,1525,1112,1359
1895,1688,1596,1525,1112,1359,1806
1688,1596,1525,1112,1359,1806,2041
1596,1525,1112,1359,1806,2041,1397
1525,1112,1359,1806,2041,1397,2126
1112,1359,1806,2041,1397,2126,1372
1359,1806,2041,1397,2126,1372,2357
1806,2041,1397,2126,1372,2357,1832
2041,1397,2126,1372,2357,1832,2329
1397,2126,1372,2357,1832,2329,1835
2126,1372,2357,1832,2329,1835,1218
1372,2357,1832,2329,1835,1218,1179
2357,1832,2329,1835,1218,1179,1798
1832,2329,1835,1218,1179,1798,2405
2329,1835,1218,1179,1798,2405,2225
1835,1218,1179,1798,2405,2225,1800
1218,1179,1798,2405,2225,1800,1210
1179,1798,2405,2225,1800,1210,2142
1798,2405,2225,1800,1210,2142,2156
2405,2225,1800,1210,2142,2156,1657
2225,1800,1210,2142,2156,1657,2433
1800,1210,2142,2156,1657,2433,2082
