t-6,t-5,t-4,t-3,t-2,t-1,t,T+1
1879,1656,2062,2105,1620,1483,2124,1616
1656,2062,2105,1620,1483,2124,1616,1840
2062,2105,1620,1483,2124,1616,1840,1433
2105,1620,1483,2124,1616,1840,1433,1685
1620,1483,2124,1616,1840,1433,1685,1881
1483,2124,1616,1840,1433,1685,1881,2385
2124,1616,1840,1433,1685,1881,2385,1327
1616,1840,1433,1685,1881,2385,1327,1390
1840,1433,1685,1881,2385,1327,1390,1508
1433,1685,1881,2385,1327,1390,1508,1250
1685,1881,2385,1327,1390,1508,1250,1693
1881,2385,1327,1390,1508,1250,1693,1626
2385,1327,1390,1508,1250,1693,1626,2222
1327,1390,1508,1250,1693,1626,2222,2135
1390,1508,1250,1693,1626,2222,2135,2256
1508,1250,1693,1626,2222,2135,2256,2017
1250,1693,1626,2222,2135,2256,2017,1388
1693,1626,2222,2135,2256,2017,1388,773
1626,2222,2135,2256,2017,1388,773,1981
2222,2135,2256,2017,1388,773,1981,1992
2135,2256,2017,1388,773,1981,1992,1020
2256,2017,1388,773,1981,1992,1020,2372
2017,1388,773,1981,1992,1020,2372,1256
1388,773,1981,1992,1020,2372,1256,2112
773,1981,1992,1020,2372,1256,2112,1957
1981,1992,1020,2372,1256,2112,1957,1262
1992,1020,2372,1256,2112,1957,1262,1748
1020,2372,1256,2112,1957,1262,1748,1738
2372,1256,2112,1957,1262,1748,1738,1003
1256,2112,1957,1262,1748,1738,1003,1573
2112,1957,1262,1748,1738,1003,1573,1608
1957,1262,1748,1738,1003,1573,1608,2028
1262,1748,1738,1003,1573,1608,2028,1794
1748,1738,1003,1573,1608,2028,1794,1215
1738,1003,1573,1608,2028,1794,1215,1170
1003,1573,1608,2028,1794,1215,1170,1828
1573,1608,2028,1794,1215,1170,1828,1810
1608,2028,1794,1215,1170,1828,1810,2036
2028,1794,1215,1170,1828,1810,2036,2678
1794,1215,1170,1828,1810,2036,2678,1055
1215,1170,1828,1810,2036,2678,1055,1531
1170,1828,1810,2036,2678,1055,1531,1220
1828,1810,2036,2678,1055,1531,1220,1958
1810,2036,2678,1055,1531,1220,1958,1949
2036,2678,1055,1531,1220,1958,1949,1720
2678,1055,1531,1220,1958,1949,1720,2269
1055,1531,1220,1958,1949,1720,2269,1174
1531,1220,1958,1949,1720,2269,1174,2099
1220,1958,1949,1720,2269,1174,2099,1507
1958,1949,1720,2269,1174,2099,1507,1320
1949,1720,2269,1174,2099,1507,1320,1301
1720,2269,1174,2099,1507,1320,1301,1729
2269,1174,2099,1507,1320,1301,1729,1898
1174,2099,1507,1320,1301,1729,1898,1736
