t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,T+1
1879,1656,2062,2105,1620,1483,2124,1616,1840
1656,2062,2105,1620,1483,2124,1616,1840,1433
2062,2105,1620,1483,2124,1616,1840,1433,1685
2105,1620,1483,2124,1616,1840,1433,1685,1881
1620,1483,2124,1616,1840,1433,1685,1881,2385
1483,2124,1616,1840,1433,1685,1881,2385,1327
2124,1616,1840,1433,1685,1881,2385,1327,1390
1616,1840,1433,1685,1881,2385,1327,1390,1508
1840,1433,1685,1881,2385,1327,1390,1508,1250
1433,1685,1881,2385,1327,1390,1508,1250,1693
1685,1881,2385,1327,1390,1508,1250,1693,1626
1881,2385,1327,1390,1508,1250,1693,1626,2222
2385,1327,1390,1508,1250,1693,1626,2222,2135
1327,1390,1508,1250,1693,1626,2222,2135,2256
1390,1508,1250,1693,1626,2222,2135,2256,2017
1508,1250,1693,1626,2222,2135,2256,2017,1388
1250,1693,1626,2222,2135,2256,2017,1388,773
1693,1626,2222,2135,2256,2017,1388,773,1981
1626,2222,2135,2256,2017,1388,773,1981,1992
2222,2135,2256,2017,1388,773,1981,1992,1020
2135,2256,2017,1388,773,1981,1992,1020,2372
2256,2017,1388,773,1981,1992,1020,2372,1256
2017,1388,773,1981,1992,1020,2372,1256,2112
1388,773,1981,1992,1020,2372,1256,2112,1957
773,1981,1992,1020,2372,1256,2112,1957,1262
1981,1992,1020,2372,1256,2112,1957,1262,1748
1992,1020,2372,1256,2112,1957,1262,1748,1738
1020,2372,1256,2112,1957,1262,1748,1738,1003
2372,1256,2112,1957,1262,1748,1738,1003,1573
1256,2112,1957,1262,1748,1738,1003,1573,1608
2112,1957,1262,1748,1738,1003,1573,1608,2028
1957,1262,1748,1738,1003,1573,1608,2028,1794
1262,1748,1738,1003,1573,1608,2028,1794,1215
1748,1738,1003,1573,1608,2028,1794,1215,1170
1738,1003,1573,1608,2028,1794,1215,1170,1828
1003,1573,1608,2028,1794,1215,1170,1828,1810
1573,1608,2028,1794,1215,1170,1828,1810,2036
1608,2028,1794,1215,1170,1828,1810,2036,2678
2028,1794,1215,1170,1828,1810,2036,2678,1055
1794,1215,1170,1828,1810,2036,2678,1055,1531
1215,1170,1828,1810,2036,2678,1055,1531,1220
1170,1828,1810,2036,2678,1055,1531,1220,1958
1828,1810,2036,2678,1055,1531,1220,1958,1949
1810,2036,2678,1055,1531,1220,1958,1949,1720
2036,2678,1055,1531,1220,1958,1949,1720,2269
2678,1055,1531,1220,1958,1949,1720,2269,1174
1055,1531,1220,1958,1949,1720,2269,1174,2099
1531,1220,1958,1949,1720,2269,1174,2099,1507
1220,1958,1949,1720,2269,1174,2099,1507,1320
1958,1949,1720,2269,1174,2099,1507,1320,1301
1949,1720,2269,1174,2099,1507,1320,1301,1729
1720,2269,1174,2099,1507,1320,1301,1729,1898
2269,1174,2099,1507,1320,1301,1729,1898,1736
1174,2099,1507,1320,1301,1729,1898,1736,2060
2099,1507,1320,1301,1729,1898,1736,2060,1713
1507,1320,1301,1729,1898,1736,2060,1713,1768
1320,1301,1729,1898,1736,2060,1713,1768,1895
1301,1729,1898,1736,2060,1713,1768,1895,1688
1729,1898,1736,2060,1713,1768,1895,1688,1596
1898,1736,2060,1713,1768,1895,1688,1596,1525
1736,2060,1713,1768,1895,1688,1596,1525,1112
2060,1713,1768,1895,1688,1596,1525,1112,1359
1713,1768,1895,1688,1596,1525,1112,1359,1806
1768,1895,1688,1596,1525,1112,1359,1806,2041
1895,1688,1596,1525,1112,1359,1806,2041,1397
1688,1596,1525,1112,1359,1806,2041,1397,2126
1596,1525,1112,1359,1806,2041,1397,2126,1372
1525,1112,1359,1806,2041,1397,2126,1372,2357
1112,1359,1806,2041,1397,2126,1372,2357,1832
1359,1806,2041,1397,2126,1372,2357,1832,2329
1806,2041,1397,2126,1372,2357,1832,2329,1835
2041,1397,2126,1372,2357,1832,2329,1835,1218
1397,2126,1372,2357,1832,2329,1835,1218,1179
2126,1372,2357,1832,2329,1835,1218,1179,1798
1372,2357,1832,2329,1835,1218,1179,1798,2405
2357,1832,2329,1835,1218,1179,1798,2405,2225
1832,2329,1835,1218,1179,1798,2405,2225,1800
2329,1835,1218,1179,1798,2405,2225,1800,1210
1835,1218,1179,1798,2405,2225,1800,1210,2142
1218,1179,1798,2405,2225,1800,1210,2142,2156
1179,1798,2405,2225,1800,1210,2142,2156,1657
1798,2405,2225,1800,1210,2142,2156,1657,2433
2405,2225,1800,1210,2142,2156,1657,2433,2082
2225,1800,1210,2142,2156,1657,2433,2082,1629
1800,1210,2142,2156,1657,2433,2082,1629,2021
1210,2142,2156,1657,2433,2082,1629,2021,1427
2142,2156,1657,2433,2082,1629,2021,1427,1384
2156,1657,2433,2082,1629,2021,1427,1384,1689
1657,2433,2082,1629,2021,1427,1384,1689,1348
2433,2082,1629,2021,1427,1384,1689,1348,1709
2082,1629,2021,1427,1384,1689,1348,1709,2073
1629,2021,1427,1384,1689,1348,1709,2073,1593
2021,1427,1384,1689,1348,1709,2073,1593,1292
1427,1384,1689,1348,1709,2073,1593,1292,1860
1384,1689,1348,1709,2073,1593,1292,1860,1403
1689,1348,1709,2073,1593,1292,1860,1403,2278
1348,1709,2073,1593,1292,1860,1403,2278,1481
1709,2073,1593,1292,1860,1403,2278,1481,1448
2073,1593,1292,1860,1403,2278,1481,1448,1601
1593,1292,1860,1403,2278,1481,1448,1601,1395
1292,1860,1403,2278,1481,1448,1601,1395,1360
1860,1403,2278,1481,1448,1601,1395,1360,1983
1403,2278,1481,1448,1601,1395,1360,1983,1210
2278,1481,1448,1601,1395,1360,1983,1210,2507
1481,1448,1601,1395,1360,1983,1210,2507,1425
1448,1601,1395,1360,1983,1210,2507,1425,1475
1601,1395,1360,1983,1210,2507,1425,1475,1135
1395,1360,1983,1210,2507,1425,1475,1135,1375
1360,1983,1210,2507,1425,1475,1135,1375,2056
1983,1210,2507,1425,1475,1135,1375,2056,1658
1210,2507,1425,1475,1135,1375,2056,1658,1899
2507,1425,1475,1135,1375,2056,1658,1899,1265
1425,1475,1135,1375,2056,1658,1899,1265,1505
1475,1135,1375,2056,1658,1899,1265,1505,2095
1135,1375,2056,1658,1899,1265,1505,2095,1495
1375,2056,1658,1899,1265,1505,2095,1495,1693
2056,1658,1899,1265,1505,2095,1495,1693,1550
1658,1899,1265,1505,2095,1495,1693,1550,1660
1899,1265,1505,2095,1495,1693,1550,1660,2114
1265,1505,2095,1495,1693,1550,1660,2114,1875
1505,2095,1495,1693,1550,1660,2114,1875,1239
2095,1495,1693,1550,1660,2114,1875,1239,1163
1495,1693,1550,1660,2114,1875,1239,1163,1274
1693,1550,1660,2114,1875,1239,1163,1274,1741
1550,1660,2114,1875,1239,1163,1274,1741,1212
1660,2114,1875,1239,1163,1274,1741,1212,2014
2114,1875,1239,1163,1274,1741,1212,2014,1755
1875,1239,1163,1274,1741,1212,2014,1755,2149
