t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,T+1
1879,1656,2062,2105,1620,1483,2124,1616,1840,1433
1656,2062,2105,1620,1483,2124,1616,1840,1433,1685
2062,2105,1620,1483,2124,1616,1840,1433,1685,1881
2105,1620,1483,2124,1616,1840,1433,1685,1881,2385
1620,1483,2124,1616,1840,1433,1685,1881,2385,1327
1483,2124,1616,1840,1433,1685,1881,2385,1327,1390
2124,1616,1840,1433,1685,1881,2385,1327,1390,1508
1616,1840,1433,1685,1881,2385,1327,1390,1508,1250
1840,1433,1685,1881,2385,1327,1390,1508,1250,1693
1433,1685,1881,2385,1327,1390,1508,1250,1693,1626
1685,1881,2385,1327,1390,1508,1250,1693,1626,2222
1881,2385,1327,1390,1508,1250,1693,1626,2222,2135
2385,1327,1390,1508,1250,1693,1626,2222,2135,2256
1327,1390,1508,1250,1693,1626,2222,2135,2256,2017
1390,1508,1250,1693,1626,2222,2135,2256,2017,1388
1508,1250,1693,1626,2222,2135,2256,2017,1388,773
1250,1693,1626,2222,2135,2256,2017,1388,773,1981
1693,1626,2222,2135,2256,2017,1388,773,1981,1992
1626,2222,2135,2256,2017,1388,773,1981,1992,1020
2222,2135,2256,2017,1388,773,1981,1992,1020,2372
2135,2256,2017,1388,773,1981,1992,1020,2372,1256
2256,2017,1388,773,1981,1992,1020,2372,1256,2112
2017,1388,773,1981,1992,1020,2372,1256,2112,1957
1388,773,1981,1992,1020,2372,1256,2112,1957,1262
773,1981,1992,1020,2372,1256,2112,1957,1262,1748
1981,1992,1020,2372,1256,2112,1957,1262,1748,1738
1992,1020,2372,1256,2112,1957,1262,1748,1738,1003
1020,2372,1256,2112,1957,1262,1748,1738,1003,1573
2372,1256,2112,1957,1262,1748,1738,1003,1573,1608
1256,2112,1957,1262,1748,1738,1003,1573,1608,2028
2112,1957,1262,1748,1738,1003,1573,1608,2028,1794
1957,1262,1748,1738,1003,1573,1608,2028,1794,1215
1262,1748,1738,1003,1573,1608,2028,1794,1215,1170
1748,1738,1003,1573,1608,2028,1794,1215,1170,1828
1738,1003,1573,1608,2028,1794,1215,1170,1828,1810
1003,1573,1608,2028,1794,1215,1170,1828,1810,2036
1573,1608,2028,1794,1215,1170,1828,1810,2036,2678
1608,2028,1794,1215,1170,1828,1810,2036,2678,1055
2028,1794,1215,1170,1828,1810,2036,2678,1055,1531
1794,1215,1170,1828,1810,2036,2678,1055,1531,1220
1215,1170,1828,1810,2036,2678,1055,1531,1220,1958
